event,event_name,position,athelete,country,mark
400 Metres women,4th IAAF World Championships in Athletics,1,Jearl Miles Clark,USA,49.82
400 Metres women,4th IAAF World Championships in Athletics,2,Natasha Kaiser-Brown,USA,50.17
400 Metres women,4th IAAF World Championships in Athletics,3,Sandie Richards,JAM,50.44
400 Metres women,4th IAAF World Championships in Athletics,4,Tatyana Alekseyeva,RUS,50.52
400 Metres women,4th IAAF World Championships in Athletics,5,Ximena Restrepo,COL,50.91
400 Metres women,4th IAAF World Championships in Athletics,6,Sandra Myers,ESP,51.22
400 Metres women,4th IAAF World Championships in Athletics,7,Juliet Campbell,JAM,51.40
