event,event_name,position,athelete,country,mark
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,1,Hongyu Liu,CHN,1:30:50
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,2,Yan Wang,CHN,1:30:52
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,3,Kerry Saxby-Junna,AUS,1:31:18  SB
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,4,Susana Feitor,POR,1:31:23
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,5,Katarzyna Radtke,POL,1:31:34
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,6,Erica Alfridi,ITA,1:32:04
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,7,Jane Saville,AUS,1:32:13
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,8,Maya Sazonova,KAZ,1:32:19
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,9,Kjersti Plätzer,NOR,1:32:42
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,10,María Vasco,ESP,1:33:35
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,11,Claudia Stef,ROU,1:33:46
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,12,Yelena Nikolayeva,RUS,1:34:10
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,13,Hristína Déskou,GRE,1:34:39
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,14,Natalya Misyulya,BLR,1:35:03
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,15,Hongmiao Gao,CHN,1:35:07
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,16,Yufang Yuan,MAS,1:35:31
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,17,Irina Stankina,RUS,1:35:42
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,18,Kristina Saltanovič,LTU,1:35:51
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,19,Svetlana Tolstaya,KAZ,1:35:54
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,20,Nora Leksir,FRA,1:36:17
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,21,Elisabetta Perrone,ITA,1:36:24
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,22,Mária Rosza-Urbanik,HUN,1:36:48
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,23,Fatiha Ouali,FRA,1:36:57
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,24,Yuka Mitsumori,JPN,1:37:13
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,25,Maria Guadalupe Sánchez,MEX,1:37:31
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,26,Teresa Linares,ESP,1:37:51
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,27,Rossella Giordano,ITA,1:38:06
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,28,Anikó Szebenszky,HUN,1:38:27
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,29,Jolanta Dukure,LAT,1:38:34
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,30,Sonata Milušauskaité,LTU,1:39:56
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,31,Susan Armenta,USA,1:40:20
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,32,Gillian O'Sullivan,IRL,1:40:33
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,33,Melanie Seeger,GER,1:40:51
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,34,Maria del Rosario Sánchez,MEX,1:41:04
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,35,Teresita Collado,GUA,1:41:12
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,36,Geovana Irusta,BOL,1:41:17
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,37,Hristína Kokótou,GRE,1:42:50
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,38,Danielle Kirk,USA,1:43:27
20 Kilometres Race Walk women,7th IAAF World Championships in Athletics,39,Mi-jung Kim,KOR,1:46:36
