event,event_name,position,athelete,country,mark
Hammer Throw women,"IAAF World Athletics Championships, DOHA 2019",1,DeAnna Price,USA,77.54
Hammer Throw women,"IAAF World Athletics Championships, DOHA 2019",2,Joanna Fiodorow,POL,76.35
Hammer Throw women,"IAAF World Athletics Championships, DOHA 2019",3,Zheng Wang,CHN,74.76
Hammer Throw women,"IAAF World Athletics Championships, DOHA 2019",4,Zalina Petrivskaya,MDA,74.33
Hammer Throw women,"IAAF World Athletics Championships, DOHA 2019",5,Iryna Klymets,UKR,73.56
Hammer Throw women,"IAAF World Athletics Championships, DOHA 2019",6,Alexandra Tavernier,FRA,73.33
Hammer Throw women,"IAAF World Athletics Championships, DOHA 2019",7,Hanna Skydan,AZE,72.83
Hammer Throw women,"IAAF World Athletics Championships, DOHA 2019",8,Na Luo,CHN,72.04
Hammer Throw women,"IAAF World Athletics Championships, DOHA 2019",9,Martina Hrašnová,SVK,71.28
Hammer Throw women,"IAAF World Athletics Championships, DOHA 2019",10,Hanna Malyshik,BLR,71.24
Hammer Throw women,"IAAF World Athletics Championships, DOHA 2019",11,Alena Sobaleva,BLR,70.45
