event,event_name,position,athelete,country,mark
3000 Metres Steeplechase men,5th IAAF World Championships in Athletics,1,Moses Kiptanui,KEN,8:04.16  CR
3000 Metres Steeplechase men,5th IAAF World Championships in Athletics,2,Christopher Koskei,KEN,8:09.30
3000 Metres Steeplechase men,5th IAAF World Championships in Athletics,3,Saad Shaddad Al-Asmari,KSA,8:12.95  AR
3000 Metres Steeplechase men,5th IAAF World Championships in Athletics,4,Steffen Brand,GER,8:14.37
3000 Metres Steeplechase men,5th IAAF World Championships in Athletics,5,Angelo Carosi,ITA,8:14.85
3000 Metres Steeplechase men,5th IAAF World Championships in Athletics,6,Florin Ionescu,ROU,8:15.44
3000 Metres Steeplechase men,5th IAAF World Championships in Athletics,7,Vladimir Pronin,RUS,8:16.59
3000 Metres Steeplechase men,5th IAAF World Championships in Athletics,8,Martin Strege,GER,8:18.57
3000 Metres Steeplechase men,5th IAAF World Championships in Athletics,9,Matthew Kiprotich Birir,KEN,8:21.15
3000 Metres Steeplechase men,5th IAAF World Championships in Athletics,10,Alessandro Lambruschini,ITA,8:22.64
3000 Metres Steeplechase men,5th IAAF World Championships in Athletics,11,Vladimir Golyas,RUS,8:27.59
3000 Metres Steeplechase men,5th IAAF World Championships in Athletics,12,Javier Rodríguez,ESP,8:30.96
