event,event_name,position,athelete,country,mark
50 Kilometres Race Walk men,1st IAAF World Championships in Athletics,1,Ronald Weigel,GDR,3:43:08
50 Kilometres Race Walk men,1st IAAF World Championships in Athletics,2,José Marín,ESP,3:46:32
50 Kilometres Race Walk men,1st IAAF World Championships in Athletics,3,Sergey Yung,URS,3:49:03
50 Kilometres Race Walk men,1st IAAF World Championships in Athletics,4,Reima Salonen,FIN,3:52:53
50 Kilometres Race Walk men,1st IAAF World Championships in Athletics,5,Raul González,MEX,3:53:51
50 Kilometres Race Walk men,1st IAAF World Championships in Athletics,6,François Lapointe,CAN,3:53:57
50 Kilometres Race Walk men,1st IAAF World Championships in Athletics,7,Sandro Bellucci,ITA,3:55:38
50 Kilometres Race Walk men,1st IAAF World Championships in Athletics,8,Viktor Dorovskikh,URS,3:56:02
50 Kilometres Race Walk men,1st IAAF World Championships in Athletics,9,Marco Evoniuk,USA,3:56:57
50 Kilometres Race Walk men,1st IAAF World Championships in Athletics,10,Bengt Simonsen,SWE,3:57:25
50 Kilometres Race Walk men,1st IAAF World Championships in Athletics,11,Pavol Szikora,TCH,3:59:03
50 Kilometres Race Walk men,1st IAAF World Championships in Athletics,12,László Sator,HUN,3:59:27
50 Kilometres Race Walk men,1st IAAF World Championships in Athletics,13,Lars Ove Moen,NOR,4:00:50
50 Kilometres Race Walk men,1st IAAF World Championships in Athletics,14,Seppo Immonen,FIN,4:02:00
50 Kilometres Race Walk men,1st IAAF World Championships in Athletics,15,Manuel Alcalde,ESP,4:03:10
50 Kilometres Race Walk men,1st IAAF World Championships in Athletics,16,José Pinto,POR,4:03:47
50 Kilometres Race Walk men,1st IAAF World Championships in Athletics,17,Pavol Blazek,TCH,4:06:49
50 Kilometres Race Walk men,1st IAAF World Championships in Athletics,18,Karl Degener,FRG,4:06:51
50 Kilometres Race Walk men,1st IAAF World Championships in Athletics,19,Lennart Mether,SWE,4:07:46
50 Kilometres Race Walk men,1st IAAF World Championships in Athletics,20,Miklós Domján,HUN,4:08:11
50 Kilometres Race Walk men,1st IAAF World Championships in Athletics,21,Félix Gómez,MEX,4:09:22
50 Kilometres Race Walk men,1st IAAF World Championships in Athletics,22,Dominique Guébey,FRA,4:09:40
50 Kilometres Race Walk men,1st IAAF World Championships in Athletics,23,Dan O'Connor,USA,4:18:41
50 Kilometres Race Walk men,1st IAAF World Championships in Athletics,24,Mingxi Dai,CHN,4:30:28
50 Kilometres Race Walk men,1st IAAF World Championships in Athletics,25,Fuxin Zhang,CHN,4:35:46
50 Kilometres Race Walk men,1st IAAF World Championships in Athletics,26,Osvaldo Morejon,BOL,4:35:58
