event,event_name,position,athelete,country,mark
Javelin Throw women,3rd IAAF World Championships in Athletics,1,Demei Xu,CHN,68.78
Javelin Throw women,3rd IAAF World Championships in Athletics,2,Petra Felke-Meier,GER,68.68
Javelin Throw women,3rd IAAF World Championships in Athletics,3,Silke Renk,GER,66.80
Javelin Throw women,3rd IAAF World Championships in Athletics,4,Natalya Cherniyenko,URS,65.22
Javelin Throw women,3rd IAAF World Championships in Athletics,5,Trine Hattestad,NOR,63.36
Javelin Throw women,3rd IAAF World Championships in Athletics,6,Louise Mcpaul-Currey,AUS,63.34
Javelin Throw women,3rd IAAF World Championships in Athletics,7,Dulce García,CUB,62.68
Javelin Throw women,3rd IAAF World Championships in Athletics,8,Päivi Alafrantti,FIN,62.26
Javelin Throw women,3rd IAAF World Championships in Athletics,9,Heli Rantanen,FIN,60.96
Javelin Throw women,3rd IAAF World Championships in Athletics,10,Anna Verouli,GRE,59.12
Javelin Throw women,3rd IAAF World Championships in Athletics,11,Natalya Shikolenko,URS,58.82
Javelin Throw women,3rd IAAF World Championships in Athletics,12,Karen Forkel,GER,57.90
