event,event_name,position,athelete,country,mark
"10,000 Metres men",1st IAAF World Championships in Athletics,1,Alberto Cova,ITA,28:01.04
"10,000 Metres men",1st IAAF World Championships in Athletics,2,Werner Schildhauer,GDR,28:01.18
"10,000 Metres men",1st IAAF World Championships in Athletics,3,Hansjörg Kunze,GDR,28:01.26
"10,000 Metres men",1st IAAF World Championships in Athletics,4,Martti Vainio,FIN,28:01.37
"10,000 Metres men",1st IAAF World Championships in Athletics,5,Gidamis Shahanga,TAN,28:01.93
"10,000 Metres men",1st IAAF World Championships in Athletics,6,Carlos Lopes,POR,28:06.78
"10,000 Metres men",1st IAAF World Championships in Athletics,7,Nick Rose,GBR,28:07.53
"10,000 Metres men",1st IAAF World Championships in Athletics,8,Christoph Herle,FRG,28:09.05
"10,000 Metres men",1st IAAF World Championships in Athletics,9,Mohamed Kedir,ETH,28:09.92
"10,000 Metres men",1st IAAF World Championships in Athletics,10,Bekele Debele,ETH,28:11.13
"10,000 Metres men",1st IAAF World Championships in Athletics,11,António Prieto,ESP,28:11.57
"10,000 Metres men",1st IAAF World Championships in Athletics,12,Steve Jones,GBR,28:15.03
"10,000 Metres men",1st IAAF World Championships in Athletics,13,Mark Nenow,USA,28:17.28
"10,000 Metres men",1st IAAF World Championships in Athletics,14,Fernando Mamede,POR,28:18.39
"10,000 Metres men",1st IAAF World Championships in Athletics,15,Bill McChesney,USA,28:34.46
"10,000 Metres men",1st IAAF World Championships in Athletics,16,José Gomez,MEX,28:42.61
"10,000 Metres men",1st IAAF World Championships in Athletics,17,Alberto Salazar,USA,28:48.42
