event,event_name,position,athelete,country,mark
High Jump men,IAAF World Championships London 2017,1,Mutaz Essa BARSHIM,QAT,2.35
High Jump men,IAAF World Championships London 2017,2,Danil Lysenko,ANA,2.32
High Jump men,IAAF World Championships London 2017,3,Majd Eddin GHAZAL,SYR,2.29
High Jump men,IAAF World Championships London 2017,4,Edgar RIVERA,MEX,2.29
High Jump men,IAAF World Championships London 2017,5,Mateusz PRZYBYLKO,GER,2.29
High Jump men,IAAF World Championships London 2017,6,Robbie Grabarz,GBR,2.25
High Jump men,IAAF World Championships London 2017,6,Ilya IVANYUK,ANA,2.25
High Jump men,IAAF World Championships London 2017,8,Bryan McBride,USA,2.25
High Jump men,IAAF World Championships London 2017,9,Bohdan BONDARENKO,UKR,2.25
High Jump men,IAAF World Championships London 2017,10,Eike Onnen,GER,2.20
