event,event_name,position,athelete,country,mark
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,1,Jesús Ángel García,ESP,3:41:41
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,2,Valentin Kononen,FIN,3:42:02
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,3,Valeriy Spitsyn,RUS,3:42:50
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,4,Axel Noack,GER,3:43:50
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,5,Basilio Labrador,ESP,3:46:46
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,6,René Piller,FRA,3:48:57
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,7,Tim Berrett,CAN,3:50:23
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,8,Carlos Mercenário,MEX,3:50:53
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,9,Jean-Claude Corre,FRA,3:51:51
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,10,Sergey Korepanov,KAZ,3:52:50
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,11,Viktar Ginko,BLR,3:53:41
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,12,Germán Sánchez,MEX,3:54:07
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,13,Giovanni Perricelli,ITA,3:54:30
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,14,Simon Baker,AUS,3:57:11
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,15,Massimo Quiriconi,ITA,3:57:33
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,16,Vyacheslav Smirnov,RUS,3:58:20
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,17,Andrés Marín,ESP,3:58:45
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,18,Štefan Malík,SVK,4:01:28
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,19,Jonathan Matthews,USA,4:02:52
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,20,Fumio Imamura,JPN,4:03:22
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,21,Pascal Charrière,SUI,4:04:19
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,22,German Skurygin,RUS,4:04:27
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,23,Les Morton,GBR,4:06:56
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,24,Miloš Holuša,CZE,4:06:56
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,25,Modris Liepinš,LAT,4:10:35
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,26,Aldo Bertoldi,SUI,4:12:09
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,27,Sergey Shildkret,AZE,4:14:10
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,28,José Urbano,POR,4:17:34
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,29,Adhemir Domingues,BRA,4:19:08
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,30,Trond Moretro,NOR,4:19:14
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,31,Herman Nelson,USA,4:21:08
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,32,Hirofumi Sakai,JPN,4:21:33
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,33,Michael Harvey,AUS,4:23:40
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,34,Eloy Quispe,BOL,4:26:20
50 Kilometres Race Walk men,4th IAAF World Championships in Athletics,35,Aleksandr Stiglenko,KGZ,4:31:51
