event,event_name,position,athelete,country,mark
Hammer Throw women,12th IAAF World Championships in Athletics,1,Anita Włodarczyk,POL,77.96
Hammer Throw women,12th IAAF World Championships in Athletics,2,Betty Heidler,GER,77.12
Hammer Throw women,12th IAAF World Championships in Athletics,3,Martina Hrašnová,SVK,74.79
Hammer Throw women,12th IAAF World Championships in Athletics,4,Kathrin Klaas,GER,74.23
Hammer Throw women,12th IAAF World Championships in Athletics,5,Wenxiu Zhang,CHN,72.57
Hammer Throw women,12th IAAF World Championships in Athletics,6,Tatyana Beloborodova,RUS,72.22
Hammer Throw women,12th IAAF World Championships in Athletics,7,Jessica Cosby Toruga,USA,72.17
Hammer Throw women,12th IAAF World Championships in Athletics,8,Clarissa Claretti,ITA,71.56
Hammer Throw women,12th IAAF World Championships in Athletics,9,Stéphanie Falzon,FRA,71.40
Hammer Throw women,12th IAAF World Championships in Athletics,10,Sultana Frizell,CAN,70.88
Hammer Throw women,12th IAAF World Championships in Athletics,11,Amber Campbell,USA,70.08
Hammer Throw women,12th IAAF World Championships in Athletics,12,Manuela Montebrun,FRA,69.92
