event,event_name,position,athelete,country,mark
100 Metres men,9th IAAF World Championships in Athletics,1,Kim Collins,SKN,10.07
100 Metres men,9th IAAF World Championships in Athletics,2,Darrel Brown,TTO,10.08
100 Metres men,9th IAAF World Championships in Athletics,3,Darren Campbell,GBR,10.08  SB
100 Metres men,9th IAAF World Championships in Athletics,4,Bernard Williams,USA,10.13
100 Metres men,9th IAAF World Championships in Athletics,5,Deji Aliu,NGR,10.21
100 Metres men,9th IAAF World Championships in Athletics,6,Uchenna Emedolu,NGR,10.22
