event,event_name,position,athelete,country,mark
5000 Metres men,"IAAF World Athletics Championships, DOHA 2019",1,Muktar Edris,ETH,12:58.85  SB
5000 Metres men,"IAAF World Athletics Championships, DOHA 2019",2,Selemon Barega,ETH,12:59.70
5000 Metres men,"IAAF World Athletics Championships, DOHA 2019",3,Mohammed Ahmed,CAN,13:01.11
5000 Metres men,"IAAF World Athletics Championships, DOHA 2019",4,Telahun Haile Bekele,ETH,13:02.29
5000 Metres men,"IAAF World Athletics Championships, DOHA 2019",5,Jakob Ingebrigtsen,NOR,13:02.93
5000 Metres men,"IAAF World Athletics Championships, DOHA 2019",6,Jacob Krop,KEN,13:03.08  PB
5000 Metres men,"IAAF World Athletics Championships, DOHA 2019",7,Paul Chelimo,USA,13:04.60  SB
5000 Metres men,"IAAF World Athletics Championships, DOHA 2019",8,Nicholas Kipkorir Kimeli,KEN,13:05.27
5000 Metres men,"IAAF World Athletics Championships, DOHA 2019",9,Birhanu Balew,BRN,13:14.66
5000 Metres men,"IAAF World Athletics Championships, DOHA 2019",10,Justyn Knight,CAN,13:26.63
5000 Metres men,"IAAF World Athletics Championships, DOHA 2019",11,Hassan Mead,USA,13:27.05
5000 Metres men,"IAAF World Athletics Championships, DOHA 2019",12,Stewart McSweyn,AUS,13:30.41
5000 Metres men,"IAAF World Athletics Championships, DOHA 2019",13,Henrik Ingebrigtsen,NOR,13:36.25
5000 Metres men,"IAAF World Athletics Championships, DOHA 2019",14,Isaac Kimeli,BEL,13:44.29
