event,event_name,position,athelete,country,mark
Javelin Throw men,1st IAAF World Championships in Athletics,1,Detlef Michel,GDR,89.48
Javelin Throw men,1st IAAF World Championships in Athletics,2,Tom Petranoff,USA,85.60
Javelin Throw men,1st IAAF World Championships in Athletics,3,Dainis Kula,URS,85.58
Javelin Throw men,1st IAAF World Championships in Athletics,4,Heino Puuste,URS,84.56
Javelin Throw men,1st IAAF World Championships in Athletics,5,Per Erling Olsen,NOR,83.54
Javelin Throw men,1st IAAF World Championships in Athletics,6,Kenth Eldebrink,SWE,83.28
Javelin Throw men,1st IAAF World Championships in Athletics,7,Zdenek Adamec,TCH,81.30
Javelin Throw men,1st IAAF World Championships in Athletics,8,Klaus Tafelmeier,FRG,80.42
Javelin Throw men,1st IAAF World Championships in Athletics,9,Bob Roggy,USA,79.84
Javelin Throw men,1st IAAF World Championships in Athletics,10,Aimo Aho,FIN,79.34
Javelin Throw men,1st IAAF World Championships in Athletics,11,Rod Ewaliko,USA,77.74
Javelin Throw men,1st IAAF World Championships in Athletics,12,Esa Utriainen,FIN,76.66
