event,event_name,position,athelete,country,mark
"10,000 Metres men",4th IAAF World Championships in Athletics,1,Haile Gebrselassie,ETH,27:46.02
"10,000 Metres men",4th IAAF World Championships in Athletics,2,Moses Tanui,KEN,27:46.54
"10,000 Metres men",4th IAAF World Championships in Athletics,3,Richard Chelimo,KEN,28:06.02
"10,000 Metres men",4th IAAF World Championships in Athletics,4,Stéphane Franke,GER,28:10.69
"10,000 Metres men",4th IAAF World Championships in Athletics,5,Aloÿs Nizigama,BDI,28:13.43
"10,000 Metres men",4th IAAF World Championships in Athletics,6,Francesco Panetta,ITA,28:27.05
"10,000 Metres men",4th IAAF World Championships in Athletics,7,Todd Williams,USA,28:30.49
"10,000 Metres men",4th IAAF World Championships in Athletics,8,Antonio Fabián Silio,ARG,28:36.88
"10,000 Metres men",4th IAAF World Championships in Athletics,9,Gérman Silva,MEX,28:39.47
"10,000 Metres men",4th IAAF World Championships in Athletics,10,William Sigei,KEN,28:54.39
"10,000 Metres men",4th IAAF World Championships in Athletics,11,Antonio Serrano,ESP,29:04.10
"10,000 Metres men",4th IAAF World Championships in Athletics,12,Salvatore Antibo,ITA,29:10.83
"10,000 Metres men",4th IAAF World Championships in Athletics,13,Boay Akonay,TAN,29:15.13
"10,000 Metres men",4th IAAF World Championships in Athletics,14,Armando Quintanilla,MEX,29:32.34
"10,000 Metres men",4th IAAF World Championships in Athletics,15,Tadashi Fukushima,JPN,29:46.70
"10,000 Metres men",4th IAAF World Championships in Athletics,16,José Carlos Adán,ESP,30:04.34
"10,000 Metres men",4th IAAF World Championships in Athletics,17,Dan Nelson,USA,30:41.72
