event,event_name,position,athelete,country,mark
Shot Put men,3rd IAAF World Championships in Athletics,1,Werner Günthör,SUI,21.67
Shot Put men,3rd IAAF World Championships in Athletics,2,Lars Arvid Nilsen,NOR,20.75
Shot Put men,3rd IAAF World Championships in Athletics,3,Oleksandr Klymenko,URS,20.34
Shot Put men,3rd IAAF World Championships in Athletics,4,Oliver-Sven Buder,GER,20.10
Shot Put men,3rd IAAF World Championships in Athletics,5,Sergey Nikolayev,URS,19.98
Shot Put men,3rd IAAF World Championships in Athletics,6,Kent Larsson,SWE,19.92
Shot Put men,3rd IAAF World Championships in Athletics,7,Dragan Peric,YUG,19.83
Shot Put men,3rd IAAF World Championships in Athletics,8,Ron Backes,USA,19.34
Shot Put men,3rd IAAF World Championships in Athletics,9,Gert Weil,CHI,19.30
Shot Put men,3rd IAAF World Championships in Athletics,10,Paul Edwards,GBR,18.91
Shot Put men,3rd IAAF World Championships in Athletics,11,Alessandro Andrei,ITA,18.73
