event,event_name,position,athelete,country,mark
Pole Vault women,11th IAAF World Championships in Athletics,1,Elena Isinbaeva,RUS,4.80
Pole Vault women,11th IAAF World Championships in Athletics,2,Katerina Badurová,CZE,4.75
Pole Vault women,11th IAAF World Championships in Athletics,3,Svetlana Feofanova,RUS,4.75
Pole Vault women,11th IAAF World Championships in Athletics,4,Monika Pyrek,POL,4.75
Pole Vault women,11th IAAF World Championships in Athletics,5,Vanessa Boslak,FRA,4.70
Pole Vault women,11th IAAF World Championships in Athletics,6,Fabiana Murer,BRA,4.65
Pole Vault women,11th IAAF World Championships in Athletics,6,Yuliya Golubchikova,RUS,4.65
Pole Vault women,11th IAAF World Championships in Athletics,8,Anna Rogowska,POL,4.60
Pole Vault women,11th IAAF World Championships in Athletics,9,Tatyana Polnova,RUS,4.60
Pole Vault women,11th IAAF World Championships in Athletics,10,Jennifer Suhr,USA,4.50
Pole Vault women,11th IAAF World Championships in Athletics,11,Kym Howe,AUS,4.50
