event,event_name,position,athelete,country,mark
100 Metres women,3rd IAAF World Championships in Athletics,1,Katrin Krabbe,GER,10.99
100 Metres women,3rd IAAF World Championships in Athletics,2,Gwen Torrence,USA,11.03
100 Metres women,3rd IAAF World Championships in Athletics,3,Merlene Ottey,JAM,11.06
100 Metres women,3rd IAAF World Championships in Athletics,4,Irina Privalova,URS,11.16
100 Metres women,3rd IAAF World Championships in Athletics,5,Evelyn Ashford,USA,11.30
100 Metres women,3rd IAAF World Championships in Athletics,6,Juliet Cuthbert,JAM,11.33
100 Metres women,3rd IAAF World Championships in Athletics,7,Mary Onyali-Omagbemi,NGR,11.39
100 Metres women,3rd IAAF World Championships in Athletics,8,Carlette Guidry-White,USA,11.52
