event,event_name,position,athelete,country,mark
Long Jump men,6th IAAF World Championships In Athletics,1,Iván Pedroso,CUB,8.42
Long Jump men,6th IAAF World Championships In Athletics,2,Erick Walder,USA,8.38
Long Jump men,6th IAAF World Championships In Athletics,3,Kirill Sosunov,RUS,8.18
Long Jump men,6th IAAF World Championships In Athletics,4,James Beckford,JAM,8.14
Long Jump men,6th IAAF World Championships In Athletics,5,Nélson Carlos Ferreira,BRA,8.04
Long Jump men,6th IAAF World Championships In Athletics,6,Aleksandr Glavatskiy,BLR,8.03
Long Jump men,6th IAAF World Championships In Athletics,7,Cheikh Tidiane Touré,SEN,7.98
Long Jump men,6th IAAF World Championships In Athletics,8,Kevin Dilworth,USA,7.88
Long Jump men,6th IAAF World Championships In Athletics,9,Masaki Morinaga,JPN,7.86
Long Jump men,6th IAAF World Championships In Athletics,10,Jianfeng Lao,CHN,7.76
Long Jump men,6th IAAF World Championships In Athletics,11,Bogdan Tudor,ROU,7.66
