event,event_name,position,athelete,country,mark
3000 Metres Steeplechase women,11th IAAF World Championships in Athletics,1,Yekaterina Volkova,RUS,9:06.57  CR
3000 Metres Steeplechase women,11th IAAF World Championships in Athletics,2,Tatyana Arkhipova,RUS,9:09.19  PB
3000 Metres Steeplechase women,11th IAAF World Championships in Athletics,3,Eunice Jepkorir Kertich,KEN,9:20.09
3000 Metres Steeplechase women,11th IAAF World Championships in Athletics,4,Ruth Bisibori Nyangau,KEN,9:25.25  WJ
3000 Metres Steeplechase women,11th IAAF World Championships in Athletics,5,Sophie Duarte,FRA,9:27.51  NR
3000 Metres Steeplechase women,11th IAAF World Championships in Athletics,6,Cristina Casandra,ROU,9:29.63
3000 Metres Steeplechase women,11th IAAF World Championships in Athletics,7,Gulnara Galkina,RUS,9:30.24
3000 Metres Steeplechase women,11th IAAF World Championships in Athletics,8,Rosa Morató,ESP,9:36.84
3000 Metres Steeplechase women,11th IAAF World Championships in Athletics,9,Hanane Ouhaddou,MAR,9:37.87
3000 Metres Steeplechase women,11th IAAF World Championships in Athletics,10,Roisin McGettigan,IRL,9:39.80
3000 Metres Steeplechase women,11th IAAF World Championships in Athletics,11,Veerle DeJaeghere,BEL,9:40.10
3000 Metres Steeplechase women,11th IAAF World Championships in Athletics,12,Fionnuala McCormack,IRL,9:48.09
3000 Metres Steeplechase women,11th IAAF World Championships in Athletics,13,Sara Moreira,POR,10:00.40
3000 Metres Steeplechase women,11th IAAF World Championships in Athletics,14,Mardrea Hyman,JAM,10:16.24
