event,event_name,position,athelete,country,mark
5000 Metres men,13th IAAF World Championships in Athletics,1,Mo Farah,GBR,13:23.36
5000 Metres men,13th IAAF World Championships in Athletics,2,Bernard Lagat,USA,13:23.64
5000 Metres men,13th IAAF World Championships in Athletics,3,Dejen Gebremeskel,ETH,13:23.92
5000 Metres men,13th IAAF World Championships in Athletics,4,Isiah Kiplangat Koech,KEN,13:24.95
5000 Metres men,13th IAAF World Championships in Athletics,5,Abera Kuma,ETH,13:25.50
5000 Metres men,13th IAAF World Championships in Athletics,6,Thomas Pkemei Longosiwa,KEN,13:26.73
5000 Metres men,13th IAAF World Championships in Athletics,7,Eliud Kipchoge,KEN,13:27.27
5000 Metres men,13th IAAF World Championships in Athletics,8,Bilisuma Shugi,BRN,13:27.67
5000 Metres men,13th IAAF World Championships in Athletics,9,Galen Rupp,USA,13:28.64
5000 Metres men,13th IAAF World Championships in Athletics,10,Daniele Meucci,ITA,13:29.11
5000 Metres men,13th IAAF World Championships in Athletics,11,Amanuel Mesel,ERI,13:33.99
5000 Metres men,13th IAAF World Championships in Athletics,12,Jesús España,ESP,13:33.99
5000 Metres men,13th IAAF World Championships in Athletics,13,Alistair Ian Cragg,IRL,13:45.33
5000 Metres men,13th IAAF World Championships in Athletics,14,Jake Robertson,NZL,14:03.09
