event,event_name,position,athelete,country,mark
5000 Metres women,6th IAAF World Championships In Athletics,1,Gabriela Szabo,ROU,14:57.68
5000 Metres women,6th IAAF World Championships In Athletics,2,Roberta Brunet,ITA,14:58.29  SB
5000 Metres women,6th IAAF World Championships In Athletics,3,Fernanda Ribeiro,POR,14:58.85
5000 Metres women,6th IAAF World Championships In Athletics,4,Paula Radcliffe,GBR,15:01.74
5000 Metres women,6th IAAF World Championships In Athletics,5,Lydia Cheromei,KEN,15:07.88
5000 Metres women,6th IAAF World Championships In Athletics,6,Jianying Liu,CHN,15:10.64  PB
5000 Metres women,6th IAAF World Championships In Athletics,7,Libbie Johnson-Hickman,USA,15:11.15  PB
5000 Metres women,6th IAAF World Championships In Athletics,8,Harumi Hiroyama-Suzuki,JPN,15:21.19
5000 Metres women,6th IAAF World Championships In Athletics,9,Li Wei,CHN,15:24.04
5000 Metres women,6th IAAF World Championships In Athletics,10,Merima Denboba,ETH,15:27.76
5000 Metres women,6th IAAF World Championships In Athletics,11,Kate Anderson-Richardson,AUS,15:27.78
5000 Metres women,6th IAAF World Championships In Athletics,12,Ayelech Worku,ETH,15:28.07
5000 Metres women,6th IAAF World Championships In Athletics,13,Naoko Takahashi,JPN,15:32.83
5000 Metres women,6th IAAF World Championships In Athletics,14,Gunhild Halle-Haugen,NOR,15:37.85
5000 Metres women,6th IAAF World Championships In Athletics,15,Yuko Kawakami,JPN,15:45.48
