event,event_name,position,athelete,country,mark
Discus Throw men,13th IAAF World Championships in Athletics,1,Robert Harting,GER,68.97
Discus Throw men,13th IAAF World Championships in Athletics,2,Gerd Kanter,EST,66.95
Discus Throw men,13th IAAF World Championships in Athletics,3,Ehsan Hadadi,IRI,66.08
Discus Throw men,13th IAAF World Championships in Athletics,4,Märt Israel,EST,65.20
Discus Throw men,13th IAAF World Championships in Athletics,5,Benn Harradine,AUS,64.77
Discus Throw men,13th IAAF World Championships in Athletics,6,Virgilijus Alekna,LTU,64.09
Discus Throw men,13th IAAF World Championships in Athletics,7,Vikas Gowda,IND,64.05
Discus Throw men,13th IAAF World Championships in Athletics,8,Jorge Fernández,CUB,63.54
Discus Throw men,13th IAAF World Championships in Athletics,9,Piotr Małachowski,POL,63.37
Discus Throw men,13th IAAF World Championships in Athletics,10,Jason Young,USA,63.20
Discus Throw men,13th IAAF World Championships in Athletics,11,Mario Pestano,ESP,63.00
Discus Throw men,13th IAAF World Championships in Athletics,12,Brett Morse,GBR,62.69
