event,event_name,position,athelete,country,mark
Hammer Throw men,2nd IAAF World Championships in Athletics,1,Sergey Litvinov,URS,83.06
Hammer Throw men,2nd IAAF World Championships in Athletics,2,Jüri Tamm,URS,80.84
Hammer Throw men,2nd IAAF World Championships in Athletics,3,Ralf Haber,GDR,80.76
Hammer Throw men,2nd IAAF World Championships in Athletics,4,Christoph Sahner,FRG,80.58
Hammer Throw men,2nd IAAF World Championships in Athletics,5,Igor Nikulin,URS,80.18
Hammer Throw men,2nd IAAF World Championships in Athletics,6,Heinz Weis,FRG,80.18
Hammer Throw men,2nd IAAF World Championships in Athletics,7,Tibor Gécsek,HUN,77.56
Hammer Throw men,2nd IAAF World Championships in Athletics,8,Plamen Minev,BUL,77.06
Hammer Throw men,2nd IAAF World Championships in Athletics,9,Günther Rodehau,GDR,76.18
Hammer Throw men,2nd IAAF World Championships in Athletics,10,Ivan Tanev,BUL,76.00
Hammer Throw men,2nd IAAF World Championships in Athletics,11,Walter Ciofani,FRA,75.34
Hammer Throw men,2nd IAAF World Championships in Athletics,12,Harri Huhtala,FIN,74.98
