event,event_name,position,athelete,country,mark
Long Jump women,8th IAAF World Championships,1,Fiona May,ITA,7.02
Long Jump women,8th IAAF World Championships,2,Tatyana Kotova,RUS,7.01
Long Jump women,8th IAAF World Championships,3,Niurka Montalvo,ESP,6.88
Long Jump women,8th IAAF World Championships,4,Tünde Vaszi,HUN,6.86
Long Jump women,8th IAAF World Championships,5,Valentina Gotovska,LAT,6.84
Long Jump women,8th IAAF World Championships,6,Níki Xánthou,GRE,6.76
Long Jump women,8th IAAF World Championships,7,Maurren Higa Maggi,BRA,6.73
Long Jump women,8th IAAF World Championships,8,Lyudmila Galkina,RUS,6.70
Long Jump women,8th IAAF World Championships,9,Yingnan Guan,CHN,6.69
Long Jump women,8th IAAF World Championships,10,Elva Goulbourne,JAM,6.62
Long Jump women,8th IAAF World Championships,11,Kumiko Imura,JPN,6.44
