event,event_name,position,athelete,country,mark
Long Jump women,3rd IAAF World Championships in Athletics,1,Jackie Joyner-Kersee,USA,7.32
Long Jump women,3rd IAAF World Championships in Athletics,2,Heike Drechsler,GER,7.29
Long Jump women,3rd IAAF World Championships in Athletics,3,Larisa Berezhnaya,URS,7.11
Long Jump women,3rd IAAF World Championships in Athletics,4,Yelena Sinchukova,URS,7.04
Long Jump women,3rd IAAF World Championships in Athletics,5,Susen Tiedtke,GER,6.77
Long Jump women,3rd IAAF World Championships in Athletics,6,Marieta Ilcu,ROU,6.72
Long Jump women,3rd IAAF World Championships in Athletics,7,Ljudmila Ninova-Rudoll,AUT,6.72
Long Jump women,3rd IAAF World Championships in Athletics,8,Yelena Belevskaya,URS,6.69
Long Jump women,3rd IAAF World Championships in Athletics,9,Ringa Ropo-Junnila,FIN,6.63
Long Jump women,3rd IAAF World Championships in Athletics,10,Jackie Edwards,BAH,6.37
Long Jump women,3rd IAAF World Championships in Athletics,11,Christy Opara-Thompson,NGR,6.28
Long Jump women,3rd IAAF World Championships in Athletics,12,Oluyinka Idowu,GBR,6.16
