event,event_name,position,athelete,country,mark
50 Kilometres Race Walk men,10th IAAF World Championships in Athletics,1,Sergey Kirdyapkin,RUS,3:38:08  PB
50 Kilometres Race Walk men,10th IAAF World Championships in Athletics,2,Aleksey Voyevodin,RUS,3:41:25
50 Kilometres Race Walk men,10th IAAF World Championships in Athletics,3,Alex Schwazer,ITA,3:41:54  NR
50 Kilometres Race Walk men,10th IAAF World Championships in Athletics,4,Trond Nymark,NOR,3:44:04  NR
50 Kilometres Race Walk men,10th IAAF World Championships in Athletics,5,Chengliang Zhao,CHN,3:44:45
50 Kilometres Race Walk men,10th IAAF World Championships in Athletics,6,Omar Zepeda,MEX,3:49:01  PB
50 Kilometres Race Walk men,10th IAAF World Championships in Athletics,7,Roman Magdziarczyk,POL,3:49:55  SB
50 Kilometres Race Walk men,10th IAAF World Championships in Athletics,8,Yuki Yamazaki,JPN,3:51:15
50 Kilometres Race Walk men,10th IAAF World Championships in Athletics,9,Horació NAVA,MEX,3:53:57  PB
50 Kilometres Race Walk men,10th IAAF World Championships in Athletics,10,Peter Korcok,SVK,3:55:02
50 Kilometres Race Walk men,10th IAAF World Championships in Athletics,11,Tim Berrett,CAN,3:55:48  SB
50 Kilometres Race Walk men,10th IAAF World Championships in Athletics,12,Julio René Martínez,GUA,3:57:56  SB
50 Kilometres Race Walk men,10th IAAF World Championships in Athletics,13,Marco DE LUCA,ITA,3:58:32
50 Kilometres Race Walk men,10th IAAF World Championships in Athletics,14,Denis Langlois,FRA,3:59:31
50 Kilometres Race Walk men,10th IAAF World Championships in Athletics,15,Ken Akashi,JPN,3:59:35
50 Kilometres Race Walk men,10th IAAF World Championships in Athletics,16,Dong-young Kim,KOR,4:01:25  SB
50 Kilometres Race Walk men,10th IAAF World Championships in Athletics,17,Modris Liepinš,LAT,4:01:54  SB
50 Kilometres Race Walk men,10th IAAF World Championships in Athletics,18,Miloš Bátovský,SVK,4:05:44
50 Kilometres Race Walk men,10th IAAF World Championships in Athletics,19,Sergey Korepanov,KAZ,4:06:23  SB
50 Kilometres Race Walk men,10th IAAF World Championships in Athletics,20,Pedro Martins,POR,4:08:12
50 Kilometres Race Walk men,10th IAAF World Championships in Athletics,21,Antti Kempas,FIN,4:10:30
50 Kilometres Race Walk men,10th IAAF World Championships in Athletics,22,Jorge Costa,POR,4:22:17
50 Kilometres Race Walk men,10th IAAF World Championships in Athletics,23,Phillip Dunn,USA,4:25:27
