event,event_name,position,athelete,country,mark
Pole Vault men,8th IAAF World Championships,1,Dmitri Markov,AUS,6.05
Pole Vault men,8th IAAF World Championships,2,Aleksandr Averbukh,ISR,5.85
Pole Vault men,8th IAAF World Championships,3,Nick Hysong,USA,5.85
Pole Vault men,8th IAAF World Championships,4,Michael Stolle,GER,5.85
Pole Vault men,8th IAAF World Championships,5,Romain Mesnil,FRA,5.85
Pole Vault men,8th IAAF World Championships,6,Christian Tamminga,NED,5.75
Pole Vault men,8th IAAF World Championships,6,Richard Spiegelburg,GER,5.75
Pole Vault men,8th IAAF World Championships,8,Adam Kolasa,POL,5.75
Pole Vault men,8th IAAF World Championships,9,Timothy Mack,USA,5.75
Pole Vault men,8th IAAF World Championships,10,Viktor Chistiakov,AUS,5.75
Pole Vault men,8th IAAF World Championships,11,Danny Ecker,GER,5.65
Pole Vault men,8th IAAF World Championships,12,Martin Eriksson,SWE,5.50
