event,event_name,position,athelete,country,mark
1500 Metres women,11th IAAF World Championships in Athletics,1,Maryam Yusuf Jamal,BRN,3:58.75  SB
1500 Metres women,11th IAAF World Championships in Athletics,2,Iryna Lishchynska,UKR,4:00.69  SB
1500 Metres women,11th IAAF World Championships in Athletics,3,Daniela Yordanova,BUL,4:00.82  SB
1500 Metres women,11th IAAF World Championships in Athletics,4,Mariem Alaoui Selsouli,MAR,4:01.52  PB
1500 Metres women,11th IAAF World Championships in Athletics,5,Viola Jelagat Kibiwot,KEN,4:02.10  PB
1500 Metres women,11th IAAF World Championships in Athletics,6,Agnes Samaria,NAM,4:07.61  NR
1500 Metres women,11th IAAF World Championships in Athletics,7,Natalya Panteleeva,RUS,4:07.82
1500 Metres women,11th IAAF World Championships in Athletics,8,Lidia Chojecka,POL,4:08.64
1500 Metres women,11th IAAF World Championships in Athletics,9,Nataliya Tobias,UKR,4:10.56
1500 Metres women,11th IAAF World Championships in Athletics,10,Iris Fuentes-Pila,ESP,4:14.00
