event,event_name,position,athelete,country,mark
20 Kilometres Race Walk men,IAAF World Championships London 2017,1,Eider ARÉVALO,COL,1:18:53  NR
20 Kilometres Race Walk men,IAAF World Championships London 2017,2,Sergey SHIROBOKOV,ANA,1:18:55
20 Kilometres Race Walk men,IAAF World Championships London 2017,3,Caio BONFIM,BRA,1:19:04  NR
20 Kilometres Race Walk men,IAAF World Championships London 2017,4,Lebogang SHANGE,RSA,1:19:18  NR
20 Kilometres Race Walk men,IAAF World Championships London 2017,5,Christopher LINKE,GER,1:19:21
20 Kilometres Race Walk men,IAAF World Championships London 2017,6,Dane BIRD-SMITH,AUS,1:19:28  PB
20 Kilometres Race Walk men,IAAF World Championships London 2017,7,Kaihua WANG,CHN,1:19:30
20 Kilometres Race Walk men,IAAF World Championships London 2017,8,Álvaro MARTÍN,ESP,1:19:41  SB
20 Kilometres Race Walk men,IAAF World Championships London 2017,9,Alberto AMEZCUA,ESP,1:19:46  PB
20 Kilometres Race Walk men,IAAF World Championships London 2017,10,Miguel Ángel LÓPEZ,ESP,1:19:57  SB
20 Kilometres Race Walk men,IAAF World Championships London 2017,11,Isamu FUJISAWA,JPN,1:20:04
20 Kilometres Race Walk men,IAAF World Championships London 2017,12,Artur BRZOZOWSKI,POL,1:20:33  PB
20 Kilometres Race Walk men,IAAF World Championships London 2017,13,Diego GARCÍA CARRERA,ESP,1:20:34  PB
20 Kilometres Race Walk men,IAAF World Championships London 2017,14,Eiki TAKAHASHI,JPN,1:20:36
20 Kilometres Race Walk men,IAAF World Championships London 2017,15,Nils BREMBACH,GER,1:20:42  PB
20 Kilometres Race Walk men,IAAF World Championships London 2017,16,Giorgio Rubino,ITA,1:20:47  SB
20 Kilometres Race Walk men,IAAF World Championships London 2017,17,Hagen POHLE,GER,1:20:53  SB
20 Kilometres Race Walk men,IAAF World Championships London 2017,18,Brian Daniel PINTADO,ECU,1:21:17  PB
20 Kilometres Race Walk men,IAAF World Championships London 2017,19,Xiangqian JIN,CHN,1:21:24
20 Kilometres Race Walk men,IAAF World Championships London 2017,20,Damian Blocki,POL,1:21:29  PB
20 Kilometres Race Walk men,IAAF World Championships London 2017,21,Érick Bernabé BARRONDO,GUA,1:21:34  SB
20 Kilometres Race Walk men,IAAF World Championships London 2017,22,Aliaksandr LIAKHOVICH,BLR,1:21:39
20 Kilometres Race Walk men,IAAF World Championships London 2017,23,Irfan KOLOTHUM THODI,IND,1:21:40
20 Kilometres Race Walk men,IAAF World Championships London 2017,24,Kevin CAMPION,FRA,1:21:46
20 Kilometres Race Walk men,IAAF World Championships London 2017,25,Francesco FORTUNATO,ITA,1:22:01  PB
20 Kilometres Race Walk men,IAAF World Championships London 2017,26,Hyunsub Kim,KOR,1:22:08
20 Kilometres Race Walk men,IAAF World Championships London 2017,27,Ruslan Dmytrenko,UKR,1:22:26  SB
20 Kilometres Race Walk men,IAAF World Championships London 2017,28,José Mauricio ARTEAGA,ECU,1:22:28  SB
20 Kilometres Race Walk men,IAAF World Championships London 2017,29,Marius ŽIŪKAS,LTU,1:22:38
20 Kilometres Race Walk men,IAAF World Championships London 2017,30,Samuel Kireri GATHIMBA,KEN,1:22:52  SB
20 Kilometres Race Walk men,IAAF World Championships London 2017,31,Byeongkwang CHOE,KOR,1:22:54  SB
20 Kilometres Race Walk men,IAAF World Championships London 2017,32,Ivan LOSEV,UKR,1:23:03  SB
20 Kilometres Race Walk men,IAAF World Championships London 2017,33,César Augusto RODRÍGUEZ,PER,1:23:05  PB
20 Kilometres Race Walk men,IAAF World Championships London 2017,34,Rui WANG,CHN,1:23:09
20 Kilometres Race Walk men,IAAF World Championships London 2017,35,Jesús Tadeo VEGA,MEX,1:23:10  SB
20 Kilometres Race Walk men,IAAF World Championships London 2017,36,Georgiy SHEIKO,KAZ,1:23:11
20 Kilometres Race Walk men,IAAF World Championships London 2017,37,Perseus KARLSTRÖM,SWE,1:23:36
20 Kilometres Race Walk men,IAAF World Championships London 2017,38,Daisuke Matsunaga,JPN,1:23:39
20 Kilometres Race Walk men,IAAF World Championships London 2017,39,Yerko Araya,CHI,1:23:46
20 Kilometres Race Walk men,IAAF World Championships London 2017,40,José Alejandro BARRONDO,GUA,1:23:47
20 Kilometres Race Walk men,IAAF World Championships London 2017,41,Callum WILKINSON,GBR,1:23:54
20 Kilometres Race Walk men,IAAF World Championships London 2017,42,Alexandros PAPAMICHAIL,GRE,1:23:56
20 Kilometres Race Walk men,IAAF World Championships London 2017,43,Pedro Daniel Gómez,MEX,1:24:11
20 Kilometres Race Walk men,IAAF World Championships London 2017,44,Ato Ibañez,SWE,1:24:23  SB
20 Kilometres Race Walk men,IAAF World Championships London 2017,45,Ersin Tacir,TUR,1:24:43
20 Kilometres Race Walk men,IAAF World Championships London 2017,46,Juan Manuel CANO,ARG,1:24:49
20 Kilometres Race Walk men,IAAF World Championships London 2017,47,Manuel Esteban SOTO,COL,1:24:56
20 Kilometres Race Walk men,IAAF World Championships London 2017,48,Matteo GIUPPONI,ITA,1:25:20  SB
20 Kilometres Race Walk men,IAAF World Championships London 2017,49,Dzmitry DZIUBIN,BLR,1:25:41
20 Kilometres Race Walk men,IAAF World Championships London 2017,50,Devender Singh,IND,1:25:47
20 Kilometres Race Walk men,IAAF World Championships London 2017,51,Benjamin THORNE,CAN,1:26:56
20 Kilometres Race Walk men,IAAF World Championships London 2017,52,Jose María RAYMUNDO,GUA,1:27:09
20 Kilometres Race Walk men,IAAF World Championships London 2017,53,Jakub JELONEK,POL,1:27:43
20 Kilometres Race Walk men,IAAF World Championships London 2017,54,Ganapathi Krishnan,IND,1:28:32
20 Kilometres Race Walk men,IAAF World Championships London 2017,55,Serhiy Budza,UKR,1:29:25
20 Kilometres Race Walk men,IAAF World Championships London 2017,56,Rhydian COWLEY,AUS,1:30:40
20 Kilometres Race Walk men,IAAF World Championships London 2017,57,Daeho Kim,KOR,1:30:41
20 Kilometres Race Walk men,IAAF World Championships London 2017,58,Mert ATLI,TUR,1:31:26
