event,event_name,position,athelete,country,mark
Pole Vault men,12th IAAF World Championships in Athletics,1,Steven Hooker,AUS,5.90
Pole Vault men,12th IAAF World Championships in Athletics,2,Romain Mesnil,FRA,5.85
Pole Vault men,12th IAAF World Championships in Athletics,3,Renaud Lavillenie,FRA,5.80
Pole Vault men,12th IAAF World Championships in Athletics,4,Maksym Mazuryk,UKR,5.75
Pole Vault men,12th IAAF World Championships in Athletics,5,Aleksandr Gripich,RUS,5.75
Pole Vault men,12th IAAF World Championships in Athletics,6,Damiel Dossévi,FRA,5.75
Pole Vault men,12th IAAF World Championships in Athletics,7,Alexander Straub,GER,5.65
Pole Vault men,12th IAAF World Championships in Athletics,7,Steven Lewis,GBR,5.65
Pole Vault men,12th IAAF World Championships in Athletics,7,Giuseppe Gibilisco,ITA,5.65
Pole Vault men,12th IAAF World Championships in Athletics,10,Viktor Chistiakov,RUS,5.50
Pole Vault men,12th IAAF World Championships in Athletics,10,Daichi Sawano,JPN,5.50
Pole Vault men,12th IAAF World Championships in Athletics,12,Alhaji Jeng,SWE,5.50
Pole Vault men,12th IAAF World Championships in Athletics,13,Malte Mohr,GER,5.50
