event,event_name,position,athelete,country,mark
Javelin Throw women,6th IAAF World Championships In Athletics,1,Trine Hattestad,NOR,68.78
Javelin Throw women,6th IAAF World Championships In Athletics,2,Joanna Stone-Nixon,AUS,68.64
Javelin Throw women,6th IAAF World Championships In Athletics,3,Tanja Damaske,GER,67.12
Javelin Throw women,6th IAAF World Championships In Athletics,4,Mikaela Ingberg,FIN,66.00
Javelin Throw women,6th IAAF World Championships In Athletics,5,Felicia Tilea-Moldovan,ROU,64.90
Javelin Throw women,6th IAAF World Championships In Athletics,6,Sonia Bisset,CUB,63.80
Javelin Throw women,6th IAAF World Championships In Athletics,7,Olisdeilys Menéndez,CUB,63.76
Javelin Throw women,6th IAAF World Championships In Athletics,8,Tatyana Shikolenko,RUS,63.76
Javelin Throw women,6th IAAF World Championships In Athletics,9,Oksana Makarova,RUS,62.92
Javelin Throw women,6th IAAF World Championships In Athletics,10,Heli Rantanen,FIN,62.64
Javelin Throw women,6th IAAF World Championships In Athletics,11,Miréla Manjani,GRE,61.02
Javelin Throw women,6th IAAF World Championships In Athletics,12,Rita Ramanauskaité,LTU,57.38
