event,event_name,position,athelete,country,mark
Shot Put women,7th IAAF World Championships in Athletics,1,Astrid Kumbernuss,GER,19.85
Shot Put women,7th IAAF World Championships in Athletics,2,Nadine Kleinert,GER,19.61
Shot Put women,7th IAAF World Championships in Athletics,3,Svetlana Krivelyova,RUS,19.43
Shot Put women,7th IAAF World Championships in Athletics,4,Yanina Pravalinskay-Karolchyk,BLR,19.17
Shot Put women,7th IAAF World Championships in Athletics,5,Xiaoyan Cheng,CHN,18.67
Shot Put women,7th IAAF World Championships in Athletics,6,Yumileidi Cumbá,CUB,18.44
Shot Put women,7th IAAF World Championships in Athletics,7,Valentina Fedyushina,AUT,18.17
Shot Put women,7th IAAF World Championships in Athletics,8,Krystyna Zabawska,POL,18.12
Shot Put women,7th IAAF World Championships in Athletics,9,Teri Steer,USA,18.04
Shot Put women,7th IAAF World Championships in Athletics,10,Myung-Sun Lee,KOR,17.92
Shot Put women,7th IAAF World Championships in Athletics,11,Connie Price-Smith,USA,17.89
Shot Put women,7th IAAF World Championships in Athletics,12,Elena Hila,ROU,17.88
