event,event_name,position,athelete,country,mark
Long Jump men,14th IAAF World Championships,1,Aleksandr Menkov,RUS,8.56
Long Jump men,14th IAAF World Championships,2,Ignisious Gaisah,NED,8.29
Long Jump men,14th IAAF World Championships,3,Luis Rivera,MEX,8.27
Long Jump men,14th IAAF World Championships,4,Eusebio Cáceres,ESP,8.26
Long Jump men,14th IAAF World Championships,5,Mauro Vinicius da Silva,BRA,8.24
Long Jump men,14th IAAF World Championships,6,Christian Reif,GER,8.22
Long Jump men,14th IAAF World Championships,7,Godfrey Khotso Mokoena,RSA,8.10
Long Jump men,14th IAAF World Championships,8,Damar Forbes,JAM,8.02
Long Jump men,14th IAAF World Championships,9,Sebastian Bayer,GER,7.98
Long Jump men,14th IAAF World Championships,10,Loúis Tsátoumas,GRE,7.98
Long Jump men,14th IAAF World Championships,11,Dwight Phillips,USA,7.88
Long Jump men,14th IAAF World Championships,12,Jinzhe Li,CHN,7.86
