event,event_name,position,athelete,country,mark
Pole Vault women,9th IAAF World Championships in Athletics,1,Svetlana Feofanova,RUS,4.75
Pole Vault women,9th IAAF World Championships in Athletics,2,Annika Becker,GER,4.70
Pole Vault women,9th IAAF World Championships in Athletics,3,Elena Isinbaeva,RUS,4.65
Pole Vault women,9th IAAF World Championships in Athletics,4,Stacy Dragila,USA,4.55
Pole Vault women,9th IAAF World Championships in Athletics,4,Monika Pyrek,POL,4.55
Pole Vault women,9th IAAF World Championships in Athletics,6,Yvonne Buschbaum,GER,4.50
Pole Vault women,9th IAAF World Championships in Athletics,7,Anna Rogowska,POL,4.45
Pole Vault women,9th IAAF World Championships in Athletics,8,Yelena Belyakova,RUS,4.45
Pole Vault women,9th IAAF World Championships in Athletics,9,Shuying Gao,CHN,4.35
Pole Vault women,9th IAAF World Championships in Athletics,10,Mary Sauer Vincent,USA,4.35
