event,event_name,position,athelete,country,mark
400 Metres women,2nd IAAF World Championships in Athletics,1,Olga Vladykina-Bryzgina,URS,49.38
400 Metres women,2nd IAAF World Championships in Athletics,2,Petra Schersing,GDR,49.94
400 Metres women,2nd IAAF World Championships in Athletics,3,Kirsten Siemon-Emmelmann,GDR,50.20
400 Metres women,2nd IAAF World Championships in Athletics,4,Mariya Kulchunova-Pinigina,URS,50.53
400 Metres women,2nd IAAF World Championships in Athletics,5,Lillie Leatherwood,USA,50.82
400 Metres women,2nd IAAF World Championships in Athletics,6,Jillian Richardson,CAN,51.03
400 Metres women,2nd IAAF World Championships in Athletics,7,Diane Dixon,USA,51.13
400 Metres women,2nd IAAF World Championships in Athletics,8,Olga V. Nazarova,URS,51.20
