event,event_name,position,athelete,country,mark
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,1,Ernesto Canto,MEX,1:20:49
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,2,Jozef Pribilinec,TCH,1:20:59
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,3,Yevgeniy Yevsyukov,URS,1:21:08
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,4,José Marín,ESP,1:21:21
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,5,Gérard Leliévre,FRA,1:21:37
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,6,Pavol Blazek,TCH,1:21:54
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,7,Maurizio Damilano,ITA,1:21:57
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,8,Guillaume Leblanc,CAN,1:22:04
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,9,Raul González,MEX,1:22:06
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,10,Roland Wieser,GDR,1:22:14
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,11,Anatoliy Gorshkov,URS,1:22:34
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,12,Reima Salonen,FIN,1:22:51
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,13,Pyotr Pochenchuk,URS,1:24:55
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,14,Ralf Kowalsky,GDR,1:25:13
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,15,David Smith,AUS,1:25:23
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,16,Enrique Vera,MEX,1:25:27
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,17,Alik Basriev,BUL,1:25:49
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,18,Carlo Mattioli,ITA,1:25:53
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,19,Jim Heiring,USA,1:25:55
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,20,Marcel Jobin,CAN,1:26:13
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,21,Erling Andersen,NOR,1:26:39
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,22,Michael Bonke,GDR,1:26:57
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,23,José Pinto,POR,1:27:10
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,24,Alessandro Pezzatini,ITA,1:27:15
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,25,Phil Vesty,GBR,1:27:20
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,26,Martial Fesselier,FRA,1:27:39
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,27,Roman Mrázek,TCH,1:27:46
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,28,Jorge Llopart,ESP,1:27:49
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,29,Simon Baker,AUS,1:28:09
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,30,William Sawall,AUS,1:28:16
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,31,Per Rasmussen,SWE,1:28:51
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,32,Matti Katila,FIN,1:29:14
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,33,Lars Ove Moen,NOR,1:29:16
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,34,Francisco Botonero,ESP,1:29:42
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,35,Abdelouaheb Ferguène,ALG,1:29:53
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,36,Tim Lewis,USA,1:30:10
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,37,Roger Mills,GBR,1:30:25
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,38,Shemsu Hassan,ETH,1:30:36
20 Kilometres Race Walk men,1st IAAF World Championships in Athletics,39,Kevin Taylor,NZL,1:30:38
