event,event_name,position,athelete,country,mark
Javelin Throw women,1st IAAF World Championships in Athletics,1,Tiina Lillak,FIN,70.82
Javelin Throw women,1st IAAF World Championships in Athletics,2,Fatima Whitbread,GBR,69.14
Javelin Throw women,1st IAAF World Championships in Athletics,3,Anna Verouli,GRE,65.72
Javelin Throw women,1st IAAF World Championships in Athletics,4,Tessa Sanderson,GBR,64.76
Javelin Throw women,1st IAAF World Championships in Athletics,5,Eva Raduly-Zörgö,ROU,63.86
Javelin Throw women,1st IAAF World Championships in Athletics,6,Tuula Laaksalo,FIN,62.44
Javelin Throw women,1st IAAF World Championships in Athletics,7,Beate Peters,FRG,62.42
Javelin Throw women,1st IAAF World Championships in Athletics,8,Maria Caridad Colón,CUB,62.04
Javelin Throw women,1st IAAF World Championships in Athletics,9,Petra Felke-Meier,GDR,62.02
Javelin Throw women,1st IAAF World Championships in Athletics,10,Karin Smith,USA,59.76
Javelin Throw women,1st IAAF World Championships in Athletics,11,Antje Kempe-Zöllkau,GDR,58.82
Javelin Throw women,1st IAAF World Championships in Athletics,12,Mayra Vila,CUB,57.80
