event,event_name,position,athelete,country,mark
"10,000 Metres women","IAAF World Athletics Championships, DOHA 2019",1,Sifan Hassan,NED,30:17.62  WL
"10,000 Metres women","IAAF World Athletics Championships, DOHA 2019",2,Letesenbet Gidey,ETH,30:21.23  PB
"10,000 Metres women","IAAF World Athletics Championships, DOHA 2019",3,Agnes Jebet Tirop,KEN,30:25.20  PB
"10,000 Metres women","IAAF World Athletics Championships, DOHA 2019",4,Rosemary Monica Wanjiru,KEN,30:35.75  PB
"10,000 Metres women","IAAF World Athletics Championships, DOHA 2019",5,Hellen Obiri,KEN,30:35.82  PB
"10,000 Metres women","IAAF World Athletics Championships, DOHA 2019",6,Senbere Teferi,ETH,30:44.23  SB
"10,000 Metres women","IAAF World Athletics Championships, DOHA 2019",7,Susan Krumins,NED,31:05.40  PB
"10,000 Metres women","IAAF World Athletics Championships, DOHA 2019",8,Marielle Hall,USA,31:05.71  PB
"10,000 Metres women","IAAF World Athletics Championships, DOHA 2019",9,Molly Huddle,USA,31:07.24
"10,000 Metres women","IAAF World Athletics Championships, DOHA 2019",10,Emily Sisson,USA,31:12.56
"10,000 Metres women","IAAF World Athletics Championships, DOHA 2019",11,Hitomi Niiya,JPN,31:12.99  SB
"10,000 Metres women","IAAF World Athletics Championships, DOHA 2019",12,Camille Buscomb,NZL,31:13.21  PB
"10,000 Metres women","IAAF World Athletics Championships, DOHA 2019",13,Ellie Pashley,AUS,31:18.89  PB
"10,000 Metres women","IAAF World Athletics Championships, DOHA 2019",14,Sinead Diver,AUS,31:25.49  PB
"10,000 Metres women","IAAF World Athletics Championships, DOHA 2019",15,Stephanie Twell,GBR,31:44.79
"10,000 Metres women","IAAF World Athletics Championships, DOHA 2019",16,Stella Chesang,UGA,32:15.20
"10,000 Metres women","IAAF World Athletics Championships, DOHA 2019",17,Natasha Wodak,CAN,32:31.19
"10,000 Metres women","IAAF World Athletics Championships, DOHA 2019",18,Rachael Zena Chebet,UGA,32:41.93  PB
"10,000 Metres women","IAAF World Athletics Championships, DOHA 2019",19,Minami Yamanouchi,JPN,32:53.46
"10,000 Metres women","IAAF World Athletics Championships, DOHA 2019",20,Juliet Chekwel,UGA,33:28.18
