event,event_name,position,athelete,country,mark
1500 Metres men,1st IAAF World Championships in Athletics,1,Steve Cram,GBR,3:41.59
1500 Metres men,1st IAAF World Championships in Athletics,2,Steve Scott,USA,3:41.87
1500 Metres men,1st IAAF World Championships in Athletics,3,Saïd Aouita,MAR,3:42.02
1500 Metres men,1st IAAF World Championships in Athletics,4,Steve Ovett,GBR,3:42.34
1500 Metres men,1st IAAF World Championships in Athletics,5,José Manuel Abascal,ESP,3:42.47
1500 Metres men,1st IAAF World Championships in Athletics,6,Pierre Délèze,SUI,3:43.69
1500 Metres men,1st IAAF World Championships in Athletics,7,Andreas Busse,GDR,3:43.72
1500 Metres men,1st IAAF World Championships in Athletics,8,Dragan Zdravkovic,YUG,3:43.75
1500 Metres men,1st IAAF World Championships in Athletics,9,John Walker,NZL,3:44.24
1500 Metres men,1st IAAF World Championships in Athletics,10,Jan Kubista,TCH,3:44.30
1500 Metres men,1st IAAF World Championships in Athletics,11,Uwe Becker,FRG,3:45.09
1500 Metres men,1st IAAF World Championships in Athletics,12,Mike Boit,KEN,3:46.46
