event,event_name,position,athelete,country,mark
Pole Vault men,1st IAAF World Championships in Athletics,1,Sergey Bubka,URS,5.70
Pole Vault men,1st IAAF World Championships in Athletics,2,Konstantin Volkov,URS,5.60
Pole Vault men,1st IAAF World Championships in Athletics,3,Atanas Tarev,BUL,5.60
Pole Vault men,1st IAAF World Championships in Athletics,4,Tadeusz Slusarski,POL,5.55
Pole Vault men,1st IAAF World Championships in Athletics,5,Tomas Valdemar Hintnaus,BRA,5.50  AR
Pole Vault men,1st IAAF World Championships in Athletics,6,Patrick Abada,FRA,5.50
Pole Vault men,1st IAAF World Championships in Athletics,7,Miro Zalar,SWE,5.50
Pole Vault men,1st IAAF World Championships in Athletics,8,Thierry Vigneron,FRA,5.40
Pole Vault men,1st IAAF World Championships in Athletics,8,Wladyslaw Kozakiewicz,POL,5.40
Pole Vault men,1st IAAF World Championships in Athletics,10,Vladimir Polyakov,URS,5.40
Pole Vault men,1st IAAF World Championships in Athletics,10,Felix Böhni,SUI,5.40
Pole Vault men,1st IAAF World Championships in Athletics,10,František Jansa,TCH,5.40
Pole Vault men,1st IAAF World Championships in Athletics,13,Jeff Buckingham,USA,5.40
Pole Vault men,1st IAAF World Championships in Athletics,14,Veijo Vannesluoma,FIN,5.40
Pole Vault men,1st IAAF World Championships in Athletics,15,Günther Lohre,FRG,5.25
Pole Vault men,1st IAAF World Championships in Athletics,15,Weiqiang Liang,CHN,5.25
Pole Vault men,1st IAAF World Championships in Athletics,17,Jürgen Winkler,FRG,5.25
Pole Vault men,1st IAAF World Championships in Athletics,18,Timo Kuusisto,FIN,5.25
Pole Vault men,1st IAAF World Championships in Athletics,19,Tomomi Takahashi,JPN,5.25
Pole Vault men,1st IAAF World Championships in Athletics,20,Alberto Ruiz,ESP,5.10
