event,event_name,position,athelete,country,mark
"10,000 Metres men",7th IAAF World Championships in Athletics,1,Haile Gebrselassie,ETH,27:57.27
"10,000 Metres men",7th IAAF World Championships in Athletics,2,Paul Tergat,KEN,27:58.56
"10,000 Metres men",7th IAAF World Championships in Athletics,3,Assefa Mezgebu,ETH,27:59.15
"10,000 Metres men",7th IAAF World Championships in Athletics,4,Girma Tolla,ETH,28:02.08
"10,000 Metres men",7th IAAF World Championships in Athletics,5,António Pinto,POR,28:03.42
"10,000 Metres men",7th IAAF World Championships in Athletics,6,Habte Jifar,ETH,28:08.82
"10,000 Metres men",7th IAAF World Championships in Athletics,7,Benjamin Maiyo,KEN,28:14.98
"10,000 Metres men",7th IAAF World Championships in Athletics,8,Kamiel Maase,NED,28:15.58
"10,000 Metres men",7th IAAF World Championships in Athletics,9,David Kipkorir Chelule,KEN,28:17.77
"10,000 Metres men",7th IAAF World Championships in Athletics,10,Khalid Skah,MAR,28:25.10
"10,000 Metres men",7th IAAF World Championships in Athletics,11,Hendrick Ramaala,RSA,28:25.57
"10,000 Metres men",7th IAAF World Championships in Athletics,12,Toshinari Takaoka,JPN,28:30.73
"10,000 Metres men",7th IAAF World Championships in Athletics,13,João N'Tyamba,ANG,28:31.09   NR
"10,000 Metres men",7th IAAF World Championships in Athletics,14,Enrique Molina,ESP,28:37.19
"10,000 Metres men",7th IAAF World Championships in Athletics,15,Ismaïl Sghyr,MAR,28:41.49
"10,000 Metres men",7th IAAF World Championships in Athletics,16,Saïd Berioui,MAR,28:46.77
"10,000 Metres men",7th IAAF World Championships in Athletics,17,Mohamed Ezzher,FRA,28:47.01
"10,000 Metres men",7th IAAF World Championships in Athletics,18,Kenji Takao,JPN,28:49.95
"10,000 Metres men",7th IAAF World Championships in Athletics,19,José Manuel Martínez,ESP,28:55.87
"10,000 Metres men",7th IAAF World Championships in Athletics,20,Satoshi Irifune,JPN,29:04.09
"10,000 Metres men",7th IAAF World Championships in Athletics,21,Bradley Hauser,USA,29:18.21
"10,000 Metres men",7th IAAF World Championships in Athletics,22,Peter Julian,USA,29:20.31
"10,000 Metres men",7th IAAF World Championships in Athletics,23,Enoch Skosana,RSA,29:30.51
"10,000 Metres men",7th IAAF World Championships in Athletics,24,Alejandro Salvador,MEX,29:36.58
"10,000 Metres men",7th IAAF World Championships in Athletics,25,Bruno Toledo,ESP,29:39.28
"10,000 Metres men",7th IAAF World Championships in Athletics,26,Sean Kaley,CAN,29:52.35
"10,000 Metres men",7th IAAF World Championships in Athletics,27,Samir Moussaoui,ALG,30:20.24
