event,event_name,position,athelete,country,mark
"10,000 Metres women",12th IAAF World Championships in Athletics,1,Linet Chepkwemoi Masai,KEN,30:51.24
"10,000 Metres women",12th IAAF World Championships in Athletics,2,Meselech Melkamu,ETH,30:51.34
"10,000 Metres women",12th IAAF World Championships in Athletics,3,Wude Ayalew,ETH,30:51.95
"10,000 Metres women",12th IAAF World Championships in Athletics,4,Grace Kwamboka Momanyi,KEN,30:52.25
"10,000 Metres women",12th IAAF World Championships in Athletics,5,Meseret Defar,ETH,30:52.37
"10,000 Metres women",12th IAAF World Championships in Athletics,6,Amy Begley,USA,31:13.78  PB
"10,000 Metres women",12th IAAF World Championships in Athletics,7,Yurika Nakamura,JPN,31:14.39
"10,000 Metres women",12th IAAF World Championships in Athletics,8,Kimberley Smith,NZL,31:21.42  SB
"10,000 Metres women",12th IAAF World Championships in Athletics,9,Kayoko Fukushi,JPN,31:23.49  SB
"10,000 Metres women",12th IAAF World Championships in Athletics,10,Inês Monteiro,POR,31:25.67  PB
"10,000 Metres women",12th IAAF World Championships in Athletics,11,Florence Kiplagat,KEN,31:30.85
"10,000 Metres women",12th IAAF World Championships in Athletics,12,Dulce Félix,POR,31:30.90
"10,000 Metres women",12th IAAF World Championships in Athletics,13,Shalane Flanagan,USA,31:32.19
"10,000 Metres women",12th IAAF World Championships in Athletics,14,Ana Dias,POR,31:49.91
"10,000 Metres women",12th IAAF World Championships in Athletics,15,Katie McGregor,USA,32:18.49
"10,000 Metres women",12th IAAF World Championships in Athletics,16,Yingying Zhang,CHN,32:33.63
"10,000 Metres women",12th IAAF World Championships in Athletics,17,Liliya Shobukhova,RUS,32:42.36
"10,000 Metres women",12th IAAF World Championships in Athletics,18,Yukari Sahaku,JPN,33:41.17
