event,event_name,position,athelete,country,mark
Marathon women,"World Athletics Championships, Oregon 2022",1,Gotytom GEBRESLASE,ETH,2:18:11  CR
Marathon women,"World Athletics Championships, Oregon 2022",2,Judith Jeptum KORIR,KEN,2:18:20  PB
Marathon women,"World Athletics Championships, Oregon 2022",3,Lonah Chemtai SALPETER,ISR,2:20:18
Marathon women,"World Athletics Championships, Oregon 2022",4,Nazret WELDU,ERI,2:20:29  NR
Marathon women,"World Athletics Championships, Oregon 2022",5,Sara HALL,USA,2:22:10  SB
Marathon women,"World Athletics Championships, Oregon 2022",6,Angela TANUI,KEN,2:22:15
Marathon women,"World Athletics Championships, Oregon 2022",7,Emma BATES,USA,2:23:18  PB
Marathon women,"World Athletics Championships, Oregon 2022",8,Keira D'AMATO,USA,2:23:34
Marathon women,"World Athletics Championships, Oregon 2022",9,Mizuki MATSUDA,JPN,2:23:49
Marathon women,"World Athletics Championships, Oregon 2022",10,Citlali MOSCOTE,MEX,2:26:33
Marathon women,"World Athletics Championships, Oregon 2022",11,Deshun ZHANG,CHN,2:28:11
Marathon women,"World Athletics Championships, Oregon 2022",12,Jess PIASECKI,GBR,2:28:41
Marathon women,"World Athletics Championships, Oregon 2022",13,Leslie SEXTON,CAN,2:28:52  SB
Marathon women,"World Athletics Championships, Oregon 2022",14,Sarah KLEIN,AUS,2:30:10  PB
Marathon women,"World Athletics Championships, Oregon 2022",15,Militsa MIRCHEVA,BUL,2:30:20
Marathon women,"World Athletics Championships, Oregon 2022",16,Alisa VAINIO,FIN,2:30:29
Marathon women,"World Athletics Championships, Oregon 2022",17,Tereza HROCHOVÁ,CZE,2:30:39  SB
Marathon women,"World Athletics Championships, Oregon 2022",18,Risper GESABWA,MEX,2:30:47  SB
Marathon women,"World Athletics Championships, Oregon 2022",19,Mieke GORISSEN,BEL,2:31:06  SB
Marathon women,"World Athletics Championships, Oregon 2022",20,Beverly RAMOS,PUR,2:31:10  NR
Marathon women,"World Athletics Championships, Oregon 2022",21,Zhanna MAMAZHANOVA,KAZ,2:31:15
Marathon women,"World Athletics Championships, Oregon 2022",22,Zhixuan LI,CHN,2:31:20  SB
Marathon women,"World Athletics Championships, Oregon 2022",23,Maor TIYOURI,ISR,2:31:54  SB
Marathon women,"World Athletics Championships, Oregon 2022",24,Hanna LINDHOLM,SWE,2:32:08  SB
Marathon women,"World Athletics Championships, Oregon 2022",25,Carolina WIKSTRÖM,SWE,2:32:24
Marathon women,"World Athletics Championships, Oregon 2022",26,Kinsey MIDDLETON,CAN,2:32:56
Marathon women,"World Athletics Championships, Oregon 2022",27,Élissa LEGAULT,CAN,2:37:35
Marathon women,"World Athletics Championships, Oregon 2022",28,Adrijana POP ARSOVA,MKD,2:41:20
Marathon women,"World Athletics Championships, Oregon 2022",29,Kit Ching YIU,HKG,2:43:13  SB
Marathon women,"World Athletics Championships, Oregon 2022",30,Munkhzaya BAYARTSOGT,MGL,2:46:09
Marathon women,"World Athletics Championships, Oregon 2022",31,Chun-Yu TSAO,TPE,2:47:02  SB
Marathon women,"World Athletics Championships, Oregon 2022",32,Aydee HUAMAN,PER,3:04:16  SB
