event,event_name,position,athelete,country,mark
5000 Metres men,10th IAAF World Championships in Athletics,1,Benjamin Kipkoech Limo,KEN,13:32.55
5000 Metres men,10th IAAF World Championships in Athletics,2,Sileshi Sihine,ETH,13:32.81
5000 Metres men,10th IAAF World Championships in Athletics,3,Craig Mottram,AUS,13:32.96
5000 Metres men,10th IAAF World Championships in Athletics,4,Eliud Kipchoge,KEN,13:33.04
5000 Metres men,10th IAAF World Championships in Athletics,5,Ali Saïdi-Sief,ALG,13:33.25
5000 Metres men,10th IAAF World Championships in Athletics,6,John Kemboi Kibowen,KEN,13:33.77
5000 Metres men,10th IAAF World Championships in Athletics,7,Tariku Bekele,ETH,13:34.76
5000 Metres men,10th IAAF World Championships in Athletics,8,Dejene Berhanu,ETH,13:34.98
5000 Metres men,10th IAAF World Championships in Athletics,9,Mukhlid Alotaibi,KSA,13:35.29
5000 Metres men,10th IAAF World Championships in Athletics,10,Isaac Kiprono Songok,KEN,13:37.10
5000 Metres men,10th IAAF World Championships in Athletics,11,Boniface Toroitich Kiprop,UGA,13:37.73
5000 Metres men,10th IAAF World Championships in Athletics,12,Marius Bakken,NOR,13:38.63
5000 Metres men,10th IAAF World Championships in Athletics,13,James Kwalia C'Kurui,QAT,13:38.90
5000 Metres men,10th IAAF World Championships in Athletics,14,Zersenay Tadese,ERI,13:40.27
5000 Metres men,10th IAAF World Championships in Athletics,15,Fabiano Joseph,TAN,13:42.50
