event,event_name,position,athelete,country,mark
Shot Put women,15th IAAF World Championships,1,Christina Schwanitz,GER,20.37
Shot Put women,15th IAAF World Championships,2,Lijiao Gong,CHN,20.30
Shot Put women,15th IAAF World Championships,3,Michelle Carter,USA,19.76
Shot Put women,15th IAAF World Championships,4,Anita Márton,HUN,19.48
Shot Put women,15th IAAF World Championships,5,Yang Gao,CHN,19.04
Shot Put women,15th IAAF World Championships,6,Aliona Dubitskaya,BLR,18.52
Shot Put women,15th IAAF World Championships,7,Yuliya Leantsiuk,BLR,18.25
Shot Put women,15th IAAF World Championships,8,Natallia Mikhnevich,BLR,18.24
Shot Put women,15th IAAF World Championships,9,Natalia Ducó,CHI,17.98
Shot Put women,15th IAAF World Championships,10,Jeneva Stevens,USA,17.84
Shot Put women,15th IAAF World Championships,11,Paulina Guba,POL,17.52
Shot Put women,15th IAAF World Championships,12,Cleopatra Borel,TTO,17.43
