event,event_name,position,athelete,country,mark
4x100 Metres Relay men,"IAAF World Athletics Championships, DOHA 2019",1,United States,USA,37.10  WL
4x100 Metres Relay men,"IAAF World Athletics Championships, DOHA 2019",2,Great Britain & NI,GBR,37.36  AR
4x100 Metres Relay men,"IAAF World Athletics Championships, DOHA 2019",3,Japan,JPN,37.43  AR
4x100 Metres Relay men,"IAAF World Athletics Championships, DOHA 2019",4,Brazil,BRA,37.72  AR
4x100 Metres Relay men,"IAAF World Athletics Championships, DOHA 2019",5,South Africa,RSA,37.73
4x100 Metres Relay men,"IAAF World Athletics Championships, DOHA 2019",6,PR of China,CHN,38.07
