event,event_name,position,athelete,country,mark
3000 Metres Steeplechase men,"World Athletics Championships, Oregon 2022",1,Soufiane EL BAKKALI,MAR,8:25.13
3000 Metres Steeplechase men,"World Athletics Championships, Oregon 2022",2,Lamecha GIRMA,ETH,8:26.01
3000 Metres Steeplechase men,"World Athletics Championships, Oregon 2022",3,Conseslus KIPRUTO,KEN,8:27.92
3000 Metres Steeplechase men,"World Athletics Championships, Oregon 2022",4,Getnet WALE,ETH,8:28.68
3000 Metres Steeplechase men,"World Athletics Championships, Oregon 2022",5,Abraham KIBIWOT,KEN,8:28.95
3000 Metres Steeplechase men,"World Athletics Championships, Oregon 2022",6,Evan JAGER,USA,8:29.08
3000 Metres Steeplechase men,"World Athletics Championships, Oregon 2022",7,Yemane HAILESELASSIE,ERI,8:29.40
3000 Metres Steeplechase men,"World Athletics Championships, Oregon 2022",8,Hillary BOR,USA,8:29.77
3000 Metres Steeplechase men,"World Athletics Championships, Oregon 2022",9,Daniel ARCE,ESP,8:30.05
3000 Metres Steeplechase men,"World Athletics Championships, Oregon 2022",10,Hailemariyam AMARE,ETH,8:31.54
3000 Metres Steeplechase men,"World Athletics Championships, Oregon 2022",11,Avinash Mukund SABLE,IND,8:31.75
3000 Metres Steeplechase men,"World Athletics Championships, Oregon 2022",12,Ahmed ABDELWAHED,ITA,8:33.43
3000 Metres Steeplechase men,"World Athletics Championships, Oregon 2022",13,Mehdi BELHADJ,FRA,8:34.49
3000 Metres Steeplechase men,"World Athletics Championships, Oregon 2022",14,Sebastián MARTOS,ESP,8:36.66
3000 Metres Steeplechase men,"World Athletics Championships, Oregon 2022",15,Leonard Kipkemoi BETT,KEN,8:36.74
