event,event_name,position,athelete,country,mark
Discus Throw women,10th IAAF World Championships in Athletics,1,Franka Dietzsch,GER,66.56
Discus Throw women,10th IAAF World Championships in Athletics,2,Natalya Sadova,RUS,64.33
Discus Throw women,10th IAAF World Championships in Athletics,3,Vera Pospíšilová-Cechlová,CZE,63.19
Discus Throw women,10th IAAF World Championships in Athletics,4,Beatrice Faumuina,NZL,62.73
Discus Throw women,10th IAAF World Championships in Athletics,5,Nicoleta Grasu,ROU,62.05
Discus Throw women,10th IAAF World Championships in Athletics,6,Shuli Ma,CHN,61.33
Discus Throw women,10th IAAF World Championships in Athletics,7,Dragana TOMAŠEVIĆ,SCG,60.56
Discus Throw women,10th IAAF World Championships in Athletics,8,Olena Antonova,UKR,59.37
Discus Throw women,10th IAAF World Championships in Athletics,9,Nataliya SEMENOVA,UKR,58.44
Discus Throw women,10th IAAF World Championships in Athletics,10,Aimin Song,CHN,57.90
Discus Throw women,10th IAAF World Championships in Athletics,11,Anna Söderberg,SWE,57.41
Discus Throw women,10th IAAF World Championships in Athletics,12,Joanna Wisniewska,POL,57.06
