event,event_name,position,athelete,country,mark
1500 Metres women,13th IAAF World Championships in Athletics,1,Jenny SIMPSON,USA,4:05.40
1500 Metres women,13th IAAF World Championships in Athletics,2,Hannah England,GBR,4:05.68
1500 Metres women,13th IAAF World Championships in Athletics,3,Natalia Rodríguez,ESP,4:05.87
1500 Metres women,13th IAAF World Championships in Athletics,4,Btissam Lakhouad,MAR,4:06.18
1500 Metres women,13th IAAF World Championships in Athletics,5,Kalkidan GEZAHEGNE,ETH,4:06.42
1500 Metres women,13th IAAF World Championships in Athletics,6,Ingvill Måkestad Bovim,NOR,4:06.85
1500 Metres women,13th IAAF World Championships in Athletics,7,Mimi BELETE,BRN,4:07.60
1500 Metres women,13th IAAF World Championships in Athletics,8,Tugba Karakaya Koyuncu,TUR,4:08.14
1500 Metres women,13th IAAF World Championships in Athletics,9,Morgan Uceny,USA,4:19.71
1500 Metres women,13th IAAF World Championships in Athletics,10,Hellen OBIRI,KEN,4:20.23
1500 Metres women,13th IAAF World Championships in Athletics,11,Maryam Yusuf Jamal,BRN,4:22.67
