event,event_name,position,athelete,country,mark
Shot Put men,"IAAF World Athletics Championships, DOHA 2019",1,Joe Kovacs,USA,22.91
Shot Put men,"IAAF World Athletics Championships, DOHA 2019",2,Ryan Crouser,USA,22.90
Shot Put men,"IAAF World Athletics Championships, DOHA 2019",3,Tomas Walsh,NZL,22.90
Shot Put men,"IAAF World Athletics Championships, DOHA 2019",4,Darlan Romani,BRA,22.53
Shot Put men,"IAAF World Athletics Championships, DOHA 2019",5,Darrell Hill,USA,21.65
Shot Put men,"IAAF World Athletics Championships, DOHA 2019",6,Konrad Bukowiecki,POL,21.46
Shot Put men,"IAAF World Athletics Championships, DOHA 2019",7,Jacko Gill,NZL,21.45
Shot Put men,"IAAF World Athletics Championships, DOHA 2019",8,Chukwuebuka Enekwechi,NGR,21.18
Shot Put men,"IAAF World Athletics Championships, DOHA 2019",9,Tim Nedow,CAN,20.85
Shot Put men,"IAAF World Athletics Championships, DOHA 2019",10,Tomáš Staněk,CZE,20.79
Shot Put men,"IAAF World Athletics Championships, DOHA 2019",11,Filip Mihaljević,CRO,20.48
