event,event_name,position,athelete,country,mark
"10,000 Metres women",11th IAAF World Championships in Athletics,1,Tirunesh Dibaba,ETH,31:55.41  SB
"10,000 Metres women",11th IAAF World Championships in Athletics,2,Kara Goucher,USA,32:02.05  SB
"10,000 Metres women",11th IAAF World Championships in Athletics,3,Joanne Pavey,GBR,32:03.81
"10,000 Metres women",11th IAAF World Championships in Athletics,4,Kimberley Smith,NZL,32:06.89
"10,000 Metres women",11th IAAF World Championships in Athletics,5,Deena Kastor,USA,32:24.58
"10,000 Metres women",11th IAAF World Championships in Athletics,6,Ejegayehu Dibaba,ETH,32:30.44
"10,000 Metres women",11th IAAF World Championships in Athletics,7,Philes Moora Ongori,KEN,32:30.74
"10,000 Metres women",11th IAAF World Championships in Athletics,8,Emily Chebet Muge,KEN,32:31.21  SB
"10,000 Metres women",11th IAAF World Championships in Athletics,9,Kayoko Fukushi,JPN,32:32.85
"10,000 Metres women",11th IAAF World Championships in Athletics,10,Nathalie de Vos,BEL,32:38.60
"10,000 Metres women",11th IAAF World Championships in Athletics,11,Inga Abitova,RUS,32:40.39
"10,000 Metres women",11th IAAF World Championships in Athletics,12,Katie McGregor,USA,32:44.76
"10,000 Metres women",11th IAAF World Championships in Athletics,13,Megumi Kinukawa,JPN,32:45.19
"10,000 Metres women",11th IAAF World Championships in Athletics,14,Akane Wakita,JPN,32:48.68
"10,000 Metres women",11th IAAF World Championships in Athletics,15,Asmae Leghzaoui,MAR,32:51.30
"10,000 Metres women",11th IAAF World Championships in Athletics,16,Benita Willis,AUS,32:55.94  SB
"10,000 Metres women",11th IAAF World Championships in Athletics,17,Aheza Kiros,ETH,33:06.60
"10,000 Metres women",11th IAAF World Championships in Athletics,18,Evelyne Wambui Nganga,KEN,33:17.12
