event,event_name,position,athelete,country,mark
Long Jump women,11th IAAF World Championships in Athletics,1,Tatyana Lebedeva,RUS,7.03
Long Jump women,11th IAAF World Championships in Athletics,2,Lyudmila Kolchanova,RUS,6.92
Long Jump women,11th IAAF World Championships in Athletics,3,Tatyana Kotova,RUS,6.90
Long Jump women,11th IAAF World Championships in Athletics,4,Naide Gomes,POR,6.87
Long Jump women,11th IAAF World Championships in Athletics,5,Bianca Kappler,GER,6.81
Long Jump women,11th IAAF World Championships in Athletics,6,Maurren Higa Maggi,BRA,6.80
Long Jump women,11th IAAF World Championships in Athletics,7,Keila Costa,BRA,6.69
Long Jump women,11th IAAF World Championships in Athletics,8,Brittney Reese,USA,6.60
Long Jump women,11th IAAF World Championships in Athletics,9,Anju Bobby George,IND,6.53
Long Jump women,11th IAAF World Championships in Athletics,10,Tianna Bartoletta,USA,6.47
Long Jump women,11th IAAF World Championships in Athletics,11,Viktoriya Rybalko,UKR,6.45
Long Jump women,11th IAAF World Championships in Athletics,12,Jana Velďáková,SVK,6.21
