event,event_name,position,athelete,country,mark
Hammer Throw men,9th IAAF World Championships in Athletics,1,Ivan Tikhon,BLR,83.05
Hammer Throw men,9th IAAF World Championships in Athletics,2,Adrián Annus,HUN,80.36
Hammer Throw men,9th IAAF World Championships in Athletics,3,Koji Murofushi,JPN,80.12
Hammer Throw men,9th IAAF World Championships in Athletics,4,Andriy Skvaruk,UKR,79.68
Hammer Throw men,9th IAAF World Championships in Athletics,5,Primož Kozmus,SLO,79.68
Hammer Throw men,9th IAAF World Championships in Athletics,6,Ilya Konovalov,RUS,78.55
Hammer Throw men,9th IAAF World Championships in Athletics,7,Vadim Devyatovskiy,BLR,78.13
Hammer Throw men,9th IAAF World Championships in Athletics,8,Alexandros Papadimitriou,GRE,77.79
Hammer Throw men,9th IAAF World Championships in Athletics,9,Miloslav Konopka,SVK,75.86
Hammer Throw men,9th IAAF World Championships in Athletics,10,Stuart Rendell,AUS,75.72
Hammer Throw men,9th IAAF World Championships in Athletics,11,Nicolas Figère,FRA,74.06
