event,event_name,position,athelete,country,mark
Triple Jump women,6th IAAF World Championships In Athletics,1,Šárka Kašparkova,CZE,15.20
Triple Jump women,6th IAAF World Championships In Athletics,2,Rodica Mateescu,ROU,15.16
Triple Jump women,6th IAAF World Championships In Athletics,3,Olena Hovorova,UKR,14.67
Triple Jump women,6th IAAF World Championships In Athletics,4,Ólga Vasdéki,GRE,14.62
Triple Jump women,6th IAAF World Championships In Athletics,5,Ashia Hansen,GBR,14.49
Triple Jump women,6th IAAF World Championships In Athletics,6,Tereza Marinova,BUL,14.34
Triple Jump women,6th IAAF World Championships In Athletics,7,Jelena Blazevica,LAT,14.06
Triple Jump women,6th IAAF World Championships In Athletics,8,Betty Lise,FRA,14.03
Triple Jump women,6th IAAF World Championships In Athletics,9,Gundega Sproge,LAT,13.98
Triple Jump women,6th IAAF World Championships In Athletics,10,Petra Laux-Lobinger,GER,13.86
Triple Jump women,6th IAAF World Championships In Athletics,11,Cynthea Rhodes,USA,13.79
Triple Jump women,6th IAAF World Championships In Athletics,12,Zhanna Gureyeva,BLR,13.59
