event,event_name,position,athelete,country,mark
1500 Metres women,IAAF World Championships London 2017,1,Faith Kipyegon,KEN,4:02.59
1500 Metres women,IAAF World Championships London 2017,2,Jenny Simpson,USA,4:02.76
1500 Metres women,IAAF World Championships London 2017,3,Caster Semenya,RSA,4:02.90
1500 Metres women,IAAF World Championships London 2017,4,Laura Muir,GBR,4:02.97
1500 Metres women,IAAF World Championships London 2017,5,Sifan Hassan,NED,4:03.34
1500 Metres women,IAAF World Championships London 2017,6,Laura Weightman,GBR,4:04.11
1500 Metres women,IAAF World Championships London 2017,7,Angelika Cichocka,POL,4:04.16
1500 Metres women,IAAF World Championships London 2017,8,Rababe Arafi,MAR,4:04.35
1500 Metres women,IAAF World Championships London 2017,9,Meraf Bahta,SWE,4:04.76
1500 Metres women,IAAF World Championships London 2017,10,Malika Akkaoui,MAR,4:05.87
1500 Metres women,IAAF World Championships London 2017,11,Hanna Klein,GER,4:06.22
1500 Metres women,IAAF World Championships London 2017,12,Genzebe Dibaba,ETH,4:06.72
