event,event_name,position,athelete,country,mark
Marathon men,4th IAAF World Championships in Athletics,1,Mark Plaatjes,USA,2:13:57
Marathon men,4th IAAF World Championships in Athletics,2,Luketz Swartbooi,NAM,2:14:11
Marathon men,4th IAAF World Championships in Athletics,3,Bert Van Vlaanderen,NED,2:15:12
Marathon men,4th IAAF World Championships in Athletics,4,Jae-Ryong Kim,KOR,2:17:14
Marathon men,4th IAAF World Championships in Athletics,5,Tadao Uchikoshi,JPN,2:17:54
Marathon men,4th IAAF World Championships in Athletics,6,Konrad Dobler,GER,2:18:28
Marathon men,4th IAAF World Championships in Athletics,7,Boniface Merande,KEN,2:18:52
Marathon men,4th IAAF World Championships in Athletics,8,Aleksey Zhelonkin,RUS,2:18:52
Marathon men,4th IAAF World Championships in Athletics,9,Tahar Mansouri,TUN,2:18:54
Marathon men,4th IAAF World Championships in Athletics,10,Peter Maher,CAN,2:19:26
Marathon men,4th IAAF World Championships in Athletics,11,Simon Robert Naali,TAN,2:19:30
Marathon men,4th IAAF World Championships in Athletics,12,Kurt Stenzel,GER,2:19:53
Marathon men,4th IAAF World Championships in Athletics,13,Steve Jones,GBR,2:20:04
Marathon men,4th IAAF World Championships in Athletics,14,Ki-Shik Chang,KOR,2:20:40
Marathon men,4th IAAF World Championships in Athletics,15,Saïd Ermili,MAR,2:22:17
Marathon men,4th IAAF World Championships in Athletics,16,Hitoshi Saotome,JPN,2:22:17
Marathon men,4th IAAF World Championships in Athletics,17,Elphas Ginindza,SWZ,2:23:00
Marathon men,4th IAAF World Championships in Athletics,18,Cihangir Demirel,TUR,2:23:02
Marathon men,4th IAAF World Championships in Athletics,19,Mirko Vindiš,SLO,2:23:31
Marathon men,4th IAAF World Championships in Athletics,20,Mukhamet Nazipov,RUS,2:24:07
Marathon men,4th IAAF World Championships in Athletics,21,Juma Ikangaa,TAN,2:24:23
Marathon men,4th IAAF World Championships in Athletics,22,Vladimir Kotov,BLR,2:24:26
Marathon men,4th IAAF World Championships in Athletics,23,Sid-Ali Sakhri,ALG,2:24:35
Marathon men,4th IAAF World Championships in Athletics,24,Raf Wyns,BEL,2:25:30
Marathon men,4th IAAF World Championships in Athletics,25,Dominique Chauvelier,FRA,2:27:26
Marathon men,4th IAAF World Championships in Athletics,26,Art Boileau,CAN,2:27:30
Marathon men,4th IAAF World Championships in Athletics,27,Alejandro Aros,CHI,2:27:56
Marathon men,4th IAAF World Championships in Athletics,28,Roy Dooney,IRL,2:28:04
Marathon men,4th IAAF World Championships in Athletics,29,Petr Pipa,SVK,2:28:05
Marathon men,4th IAAF World Championships in Athletics,30,Harri Hänninen,FIN,2:28:07
Marathon men,4th IAAF World Championships in Athletics,31,Igor Šalamun,SLO,2:28:56
Marathon men,4th IAAF World Championships in Athletics,32,Omar Abdillahi,DJI,2:29:28
Marathon men,4th IAAF World Championships in Athletics,33,Chad Bennion,USA,2:29:37
Marathon men,4th IAAF World Championships in Athletics,34,Tena Negere,ETH,2:29:46
Marathon men,4th IAAF World Championships in Athletics,35,Martin Vrábel,SVK,2:30:37
Marathon men,4th IAAF World Championships in Athletics,36,Moses Matabane,LES,2:30:40
Marathon men,4th IAAF World Championships in Athletics,37,Gi-Sheng Hsu,TPE,2:30:56
Marathon men,4th IAAF World Championships in Athletics,38,Negash Dube,ETH,2:33:03
Marathon men,4th IAAF World Championships in Athletics,39,Ignacio Alberto Cuba,CUB,2:34:26
Marathon men,4th IAAF World Championships in Athletics,40,Kuruppu Karunaratne,SRI,2:34:47
Marathon men,4th IAAF World Championships in Athletics,41,Takeharu Honda,JPN,2:37:48
Marathon men,4th IAAF World Championships in Athletics,42,Mothusi Tsiana,BOT,2:42:10
Marathon men,4th IAAF World Championships in Athletics,43,Fai Yeung Ng,HKG,2:55:17
