event,event_name,position,athelete,country,mark
3000 Metres women,4th IAAF World Championships in Athletics,1,Yunxia Qu,CHN,8:28.71  CR
3000 Metres women,4th IAAF World Championships in Athletics,2,Linli Zhang,CHN,8:29.25
3000 Metres women,4th IAAF World Championships in Athletics,3,Lirong Zhang,CHN,8:31.95
3000 Metres women,4th IAAF World Championships in Athletics,4,Sonia O'Sullivan,IRL,8:33.38
3000 Metres women,4th IAAF World Championships in Athletics,5,Alison Wyeth,GBR,8:38.42
3000 Metres women,4th IAAF World Championships in Athletics,6,Yelena Romanova,RUS,8:39.69
3000 Metres women,4th IAAF World Championships in Athletics,7,Paula Radcliffe,GBR,8:40.40
3000 Metres women,4th IAAF World Championships in Athletics,8,Lyudmila Borisova,RUS,8:40.78
3000 Metres women,4th IAAF World Championships in Athletics,9,Yvonne Murray,GBR,8:43.46
3000 Metres women,4th IAAF World Championships in Athletics,10,Annette Peters,USA,8:45.56
3000 Metres women,4th IAAF World Championships in Athletics,11,Ebru Kavaklioglu,RUS,8:50.49
3000 Metres women,4th IAAF World Championships in Athletics,12,Claudia Lokar,GER,8:51.35
3000 Metres women,4th IAAF World Championships in Athletics,13,Annemari KIEKARA,FIN,8:53.58
3000 Metres women,4th IAAF World Championships in Athletics,14,Luminita Zaituc,ROU,9:01.38
3000 Metres women,4th IAAF World Championships in Athletics,15,Esther Kiplagat,KEN,9:07.05
