event,event_name,position,athelete,country,mark
Marathon men,11th IAAF World Championships in Athletics,1,Luke Kibet Bowen,KEN,2:15:59
Marathon men,11th IAAF World Championships in Athletics,2,Mubarak Hassan Shami,QAT,2:17:18
Marathon men,11th IAAF World Championships in Athletics,3,Viktor Röthlin,SUI,2:17:25
Marathon men,11th IAAF World Championships in Athletics,4,Yared Asmerom,ERI,2:17:41
Marathon men,11th IAAF World Championships in Athletics,5,Tsuyoshi Ogata,JPN,2:17:42  SB
Marathon men,11th IAAF World Championships in Athletics,6,Satoshi Osaki,JPN,2:18:06  SB
Marathon men,11th IAAF World Championships in Athletics,7,Toshinari Suwa,JPN,2:18:35  SB
Marathon men,11th IAAF World Championships in Athletics,8,William Kiplagat,KEN,2:19:21
Marathon men,11th IAAF World Championships in Athletics,9,Janne Holmén,FIN,2:19:36
Marathon men,11th IAAF World Championships in Athletics,10,José Manuel Martínez,ESP,2:20:25
Marathon men,11th IAAF World Championships in Athletics,11,Dan Robinson,GBR,2:20:30
Marathon men,11th IAAF World Championships in Athletics,12,Alex Malinga,UGA,2:20:36
Marathon men,11th IAAF World Championships in Athletics,13,Tomoyuki Sato,JPN,2:20:53
Marathon men,11th IAAF World Championships in Athletics,14,Gashaw Melese,ETH,2:20:58
Marathon men,11th IAAF World Championships in Athletics,15,Ju-Young Park,KOR,2:21:49
Marathon men,11th IAAF World Championships in Athletics,16,Mike Fokorani,ZIM,2:21:52
Marathon men,11th IAAF World Championships in Athletics,17,José Ríos,ESP,2:22:21  SB
Marathon men,11th IAAF World Championships in Athletics,18,José de Souza,BRA,2:22:24
Marathon men,11th IAAF World Championships in Athletics,19,Seteng Ayele,ISR,2:22:27  SB
Marathon men,11th IAAF World Championships in Athletics,20,Ali Mabrouk El Zaidi,LBA,2:22:50
Marathon men,11th IAAF World Championships in Athletics,21,Mbarak Kipkorir Hussein,USA,2:23:04  SB
Marathon men,11th IAAF World Championships in Athletics,22,Alberto Chaíça,POR,2:23:22  SB
Marathon men,11th IAAF World Championships in Athletics,23,Mike Morgan,USA,2:23:28  SB
Marathon men,11th IAAF World Championships in Athletics,24,Young chun Kim,KOR,2:24:25
Marathon men,11th IAAF World Championships in Athletics,25,Samson Ramadhani,TAN,2:25:51
Marathon men,11th IAAF World Championships in Athletics,26,Myongseung Lee,KOR,2:25:54
Marathon men,11th IAAF World Championships in Athletics,27,Hendrick Ramaala,RSA,2:26:00
Marathon men,11th IAAF World Championships in Athletics,28,Chia-Che Chang,TPE,2:26:22
Marathon men,11th IAAF World Championships in Athletics,29,Khalid Kamal Yaseen,BRN,2:26:32  SB
Marathon men,11th IAAF World Championships in Athletics,30,Getuli Amnaay Bayo,TAN,2:26:56
Marathon men,11th IAAF World Championships in Athletics,31,Dejene Berhanu,ETH,2:27:50  SB
Marathon men,11th IAAF World Championships in Athletics,32,Kyle O'Brien,USA,2:28:28  SB
Marathon men,11th IAAF World Championships in Athletics,33,Wei Su,CHN,2:28:41  SB
Marathon men,11th IAAF World Championships in Athletics,34,Wodage Zvadya,ISR,2:29:21
Marathon men,11th IAAF World Championships in Athletics,35,Luís Feiteira,POR,2:29:34
Marathon men,11th IAAF World Championships in Athletics,36,Haiyang Deng,CHN,2:29:37  SB
Marathon men,11th IAAF World Championships in Athletics,37,Ulrich Steidl,GER,2:30:03
Marathon men,11th IAAF World Championships in Athletics,38,Ambesse Tolosa,ETH,2:30:20
Marathon men,11th IAAF World Championships in Athletics,39,Michael Tluway Mislay,TAN,2:30:33
Marathon men,11th IAAF World Championships in Athletics,40,Asaf Bimro,ISR,2:31:34
Marathon men,11th IAAF World Championships in Athletics,41,Yousf Othman Qader,QAT,2:32:00
Marathon men,11th IAAF World Championships in Athletics,42,Paulo Gomes,POR,2:32:02
Marathon men,11th IAAF World Championships in Athletics,43,Zhuhong Li,CHN,2:32:44
Marathon men,11th IAAF World Championships in Athletics,44,Rachid Kisri,MAR,2:32:57
Marathon men,11th IAAF World Championships in Athletics,45,Abderrahime Bouramdane,MAR,2:33:26
Marathon men,11th IAAF World Championships in Athletics,46,Pablo Olmedo,MEX,2:33:40
Marathon men,11th IAAF World Championships in Athletics,47,Marcel Tschopp,LIE,2:33:42
Marathon men,11th IAAF World Championships in Athletics,48,Antoni Bernadó,AND,2:34:28
Marathon men,11th IAAF World Championships in Athletics,49,Longyun Ren,CHN,2:35:22
Marathon men,11th IAAF World Championships in Athletics,50,Fernando Cabada Jr,USA,2:35:48  SB
Marathon men,11th IAAF World Championships in Athletics,51,Peter Riley,GBR,2:36:00  SB
Marathon men,11th IAAF World Championships in Athletics,52,Laban Kagika,KEN,2:37:13
Marathon men,11th IAAF World Championships in Athletics,53,George Mofokeng,RSA,2:40:22
Marathon men,11th IAAF World Championships in Athletics,54,Rito Regules,MEX,2:45:26
Marathon men,11th IAAF World Championships in Athletics,55,Ser-Od BAT-OCHIR,MGL,2:49:06  SB
Marathon men,11th IAAF World Championships in Athletics,56,Mitsuru Kubota,JPN,2:59:40
Marathon men,11th IAAF World Championships in Athletics,57,Tumi Malefetsane,LES,3:03:47
