event,event_name,position,athelete,country,mark
"10,000 Metres women",9th IAAF World Championships in Athletics,1,Berhane Adere,ETH,30:04.18  CR
"10,000 Metres women",9th IAAF World Championships in Athletics,2,Werknesh Kidane,ETH,30:07.15  PB
"10,000 Metres women",9th IAAF World Championships in Athletics,3,Yingjie Sun,CHN,30:07.20  PB
"10,000 Metres women",9th IAAF World Championships in Athletics,4,Lornah Kiplagat,NED,30:12.53  NR
"10,000 Metres women",9th IAAF World Championships in Athletics,5,Alla Zhilyaeva,RUS,30:23.07  NR
"10,000 Metres women",9th IAAF World Championships in Athletics,6,Galina Bogomolova,RUS,30:26.20  PB
"10,000 Metres women",9th IAAF World Championships in Athletics,7,Huina Xing,CHN,30:31.55  WJ
"10,000 Metres women",9th IAAF World Championships in Athletics,8,Benita Willis,AUS,30:37.68  AR
"10,000 Metres women",9th IAAF World Championships in Athletics,9,Ejegayehu Dibaba,ETH,31:01.07  PB
"10,000 Metres women",9th IAAF World Championships in Athletics,10,Jelena Prokopcuka,LAT,31:06.14  NR
"10,000 Metres women",9th IAAF World Championships in Athletics,11,Kayoko Fukushi,JPN,31:10.57  SB
"10,000 Metres women",9th IAAF World Championships in Athletics,12,Deena Kastor,USA,31:17.86  SB
"10,000 Metres women",9th IAAF World Championships in Athletics,13,Mihaela Maria Prundus,ROU,31:28.72  SB
"10,000 Metres women",9th IAAF World Championships in Athletics,14,Yoko Shibui,JPN,31:42.01  SB
"10,000 Metres women",9th IAAF World Championships in Athletics,15,Megumi Oshima,JPN,31:47.00  SB
"10,000 Metres women",9th IAAF World Championships in Athletics,16,Lidiya Grigoryeva,RUS,31:49.41
"10,000 Metres women",9th IAAF World Championships in Athletics,17,Elva Dryer,USA,31:59.81
"10,000 Metres women",9th IAAF World Championships in Athletics,18,Helena Javornik,SLO,32:01.57
"10,000 Metres women",9th IAAF World Championships in Athletics,19,Salina Jebet Kosgei,KEN,32:09.15  SB
"10,000 Metres women",9th IAAF World Championships in Athletics,20,Anikó Kálovics,HUN,32:15.96
"10,000 Metres women",9th IAAF World Championships in Athletics,21,Sonja Stolic,SCG,33:08.87  SB
"10,000 Metres women",9th IAAF World Championships in Athletics,22,Nataliya Berkut,UKR,33:12.84
"10,000 Metres women",9th IAAF World Championships in Athletics,23,Yesenia Centeno,ESP,33:32.50
