event,event_name,position,athelete,country,mark
800 Metres women,12th IAAF World Championships in Athletics,1,Caster Semenya,RSA,1:55.45  WL
800 Metres women,12th IAAF World Championships in Athletics,2,Janeth Jepkosgei Busienei,KEN,1:57.90  SB
800 Metres women,12th IAAF World Championships in Athletics,3,Jennifer Meadows,GBR,1:57.93  PB
800 Metres women,12th IAAF World Championships in Athletics,4,Yuliya Krevsun,UKR,1:58.00  SB
800 Metres women,12th IAAF World Championships in Athletics,5,Mariya Savinova,RUS,1:58.68
800 Metres women,12th IAAF World Championships in Athletics,6,Elisa Cusma Piccione,ITA,1:58.81  SB
800 Metres women,12th IAAF World Championships in Athletics,7,Mayte Martínez,ESP,1:58.81  SB
800 Metres women,12th IAAF World Championships in Athletics,8,Marilyn Okoro,GBR,2:00.32
