event,event_name,position,athelete,country,mark
Triple Jump women,8th IAAF World Championships,1,Tatyana Lebedeva,RUS,15.25
Triple Jump women,8th IAAF World Championships,2,Françoise Mbango Etone,CMR,14.60
Triple Jump women,8th IAAF World Championships,3,Tereza Marinova,BUL,14.58
Triple Jump women,8th IAAF World Championships,4,Magdelín Martínez,ITA,14.52
Triple Jump women,8th IAAF World Championships,5,Heli Koivula Kruger,FIN,14.28
Triple Jump women,8th IAAF World Championships,6,Cristina Nicolau,ROU,14.17
Triple Jump women,8th IAAF World Championships,7,Ashia Hansen,GBR,14.10
Triple Jump women,8th IAAF World Championships,8,Trecia Kaye Smith,JAM,13.92
Triple Jump women,8th IAAF World Championships,9,Olga Bolsova,MDA,13.86
Triple Jump women,8th IAAF World Championships,10,Olena Hovorova,UKR,13.85
Triple Jump women,8th IAAF World Championships,11,Camilla Johansson,SWE,13.84
Triple Jump women,8th IAAF World Championships,12,Natallia Safronava,BLR,13.82
