event,event_name,position,athelete,country,mark
400 Metres men,14th IAAF World Championships,1,LaShawn Merritt,USA,43.74  WL
400 Metres men,14th IAAF World Championships,2,Tony McQuay,USA,44.40  PB
400 Metres men,14th IAAF World Championships,3,Luguelín Santos,DOM,44.52  SB
400 Metres men,14th IAAF World Championships,4,Jonathan Borlée,BEL,44.54  SB
400 Metres men,14th IAAF World Championships,5,Pavel Maslák,CZE,44.91
400 Metres men,14th IAAF World Championships,6,Yousef Ahmed Masrahi,KSA,44.97
400 Metres men,14th IAAF World Championships,7,Kirani James,GRN,44.99
400 Metres men,14th IAAF World Championships,8,Anderson Freitas Henriques,BRA,45.03
