event,event_name,position,athelete,country,mark
400 Metres Hurdles women,"IAAF World Athletics Championships, DOHA 2019",1,Dalilah Muhammad,USA,52.16  WR
400 Metres Hurdles women,"IAAF World Athletics Championships, DOHA 2019",2,Sydney McLaughlin,USA,52.23  PB
400 Metres Hurdles women,"IAAF World Athletics Championships, DOHA 2019",3,Rushell Clayton,JAM,53.74  PB
400 Metres Hurdles women,"IAAF World Athletics Championships, DOHA 2019",4,Lea Sprunger,SUI,54.06  NR
400 Metres Hurdles women,"IAAF World Athletics Championships, DOHA 2019",5,Zuzana Hejnová,CZE,54.23
400 Metres Hurdles women,"IAAF World Athletics Championships, DOHA 2019",6,Ashley Spencer,USA,54.45
400 Metres Hurdles women,"IAAF World Athletics Championships, DOHA 2019",7,Anna Ryzhykova,UKR,54.45  SB
400 Metres Hurdles women,"IAAF World Athletics Championships, DOHA 2019",8,Sage Watson,CAN,54.82
