event,event_name,position,athelete,country,mark
100 Metres women,"IAAF World Athletics Championships, DOHA 2019",1,Shelly-Ann Fraser-Pryce,JAM,10.71  WL
100 Metres women,"IAAF World Athletics Championships, DOHA 2019",2,Dina Asher-Smith,GBR,10.83  NR
100 Metres women,"IAAF World Athletics Championships, DOHA 2019",3,Marie-Josée Ta Lou,CIV,10.90
100 Metres women,"IAAF World Athletics Championships, DOHA 2019",4,Elaine Thompson,JAM,10.93
100 Metres women,"IAAF World Athletics Championships, DOHA 2019",5,Murielle Ahouré,CIV,11.02  SB
100 Metres women,"IAAF World Athletics Championships, DOHA 2019",6,Jonielle Smith,JAM,11.06
100 Metres women,"IAAF World Athletics Championships, DOHA 2019",7,Teahna Daniels,USA,11.19
